Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),5.991948470209337,0.01437131940791991,0.1659711333766735
0-10 (n=23),11-20 (n=24),0.0040760869565019675,0.9490942518182208,0.9716543717923435
0-10 (n=23),21-30 (n=11),0.027442123094303383,0.8684271690455505,0.9598405552608716
0-10 (n=23),31-40 (n=3),1.753623188405797,0.18542189470595588,0.3107668131908575
0-10 (n=23),61-70 (n=1),1.1739130434782652,0.2785986718379586,0.39003814057314207
0-10 (n=23),71-100 (n=1),0.631304347826088,0.4268772738880864,0.4980234862027675
100+ (n=3),11-20 (n=24),5.00595238095238,0.025260301632012486,0.1768221114240874
100+ (n=3),21-30 (n=11),5.824242424242428,0.015806774607302235,0.1659711333766735
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.2600567205370413
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.3107668131908575
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.3107668131908575
11-20 (n=24),21-30 (n=11),0.001262626262644062,0.9716543717923435,0.9716543717923435
11-20 (n=24),31-40 (n=3),2.3809523809523796,0.12282264810139236,0.3107668131908575
11-20 (n=24),61-70 (n=1),1.2307692307692406,0.26725749315438274,0.39003814057314207
11-20 (n=24),71-100 (n=1),0.9423076923077076,0.3316850680568557,0.40972861348199824
21-30 (n=11),31-40 (n=3),1.7515151515151501,0.18568637005052918,0.3107668131908575
21-30 (n=11),61-70 (n=1),1.6993006993007072,0.19237945578481658,0.3107668131908575
21-30 (n=11),71-100 (n=1),1.6993006993007072,0.19237945578481658,0.3107668131908575
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.3107668131908575
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.3107668131908575
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.40972861348199824
