Group 1,Group 2,H,p-value,q-value
0-10 (n=23),100+ (n=3),5.6054750402576445,0.017904440065424392,0.1768221114240874
0-10 (n=23),11-20 (n=24),0.0018115942028771315,0.9660500287459871,0.9853147317478002
0-10 (n=23),21-30 (n=11),0.00033879164314498666,0.9853147317478002,0.9853147317478002
0-10 (n=23),31-40 (n=3),0.8518518518518619,0.3560289852381582,0.43980051117654834
0-10 (n=23),61-70 (n=1),1.507826086956527,0.2194711061096979,0.4189902934821505
0-10 (n=23),71-100 (n=1),0.8817391304347808,0.3477257877238704,0.43980051117654834
100+ (n=3),11-20 (n=24),5.00595238095238,0.025260301632012486,0.1768221114240874
100+ (n=3),21-30 (n=11),5.824242424242428,0.015806774607302235,0.1768221114240874
100+ (n=3),31-40 (n=3),3.857142857142854,0.049534613435626915,0.2600567205370413
100+ (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.40399685714811484
100+ (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.40399685714811484
11-20 (n=24),21-30 (n=11),0.001262626262644062,0.9716543717923435,0.9853147317478002
11-20 (n=24),31-40 (n=3),1.3392857142857082,0.24715997321190492,0.431723642787849
11-20 (n=24),61-70 (n=1),1.2307692307692406,0.26725749315438274,0.431723642787849
11-20 (n=24),71-100 (n=1),0.9423076923077076,0.3316850680568557,0.43980051117654834
21-30 (n=11),31-40 (n=3),0.49090909090909207,0.4835220598680484,0.5641090698460565
21-30 (n=11),61-70 (n=1),1.6993006993007072,0.19237945578481658,0.40399685714811484
21-30 (n=11),71-100 (n=1),1.6993006993007072,0.19237945578481658,0.40399685714811484
31-40 (n=3),61-70 (n=1),1.8000000000000007,0.17971249487899588,0.40399685714811484
31-40 (n=3),71-100 (n=1),1.8000000000000007,0.17971249487899588,0.40399685714811484
61-70 (n=1),71-100 (n=1),1.0,0.31731050786291115,0.43980051117654834
