id	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	Year_group	Age_group	Age_binary	pH_binary	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Whitelands_2018_19_	2018	3	seed_mix	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	9.15169866722353
Castle_Field_West__W_	2002	19	seed_mix	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	8.76757386906143
Toposcope_Field_-_1980s	1985	36	Natural_regen	no	yes	yes	no	1981-2000	31-40	AboveMedian	AboveMedian	9.06696352592155
Bradenham_post-1986_b	1986	35	seed_mix	no	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	9.0174930459184
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	6.80449530742956
Stonehenge_2000_2017a	2000	21	Green_hay_bush	no	yes	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	9.02176722598599
Stonehenge_2003_2017b	2003	18	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	8.99899279779487
Stonehenge_2009	2009	12	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	9.09807381081833
Stonehenge_2007_2016	2007	14	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	9.02345796230257
Stonehenge_2005	2005	16	Green_hay_bush	no	no	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	9.03645722796799
Stonehenge_2002_2017	2002	19	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	9.01868725354163
Stonehenge_2010	2010	11	Green_hay_bush	no	yes	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	8.93942015935465
Stonehenge_2011	2011	10	Green_hay_bush	no	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	9.13550155136958
Stonehenge_-_Luxenborough_BankB	2000	21	Green_hay_bush	yes	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	9.09395725753633
Watlington_natural_reversion	2000	21	Natural_regen	no	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	8.87199576869553
St_Catherines_A3	1994	27	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	8.65988640668689
HARLEY_FARMS_Chittern	2013	8	seed_mix	yes	yes	no	yes	2011-2020	0-10	BelowMedian	BelowMedian	9.00290455382756
HARLEY_FARMS_New1	2020	1	seed_mix	no	yes	no	no	2011-2020	0-10	BelowMedian	BelowMedian	9.01061025845253
HARLEY_FARMS_new2b	2020	1	seed_mix	yes	no	no	no	2011-2020	0-10	BelowMedian	BelowMedian	9.0949839292691
WINDMILL_farm	1990	31	seed_mix	yes	yes	yes	yes	1981-2000	31-40	AboveMedian	BelowMedian	8.3508724580898
DRUIDS	2002	19	seed_mix	yes	yes	yes	yes	2001-2010	11-20	AboveMedian	BelowMedian	8.81411770011209
Stratton_Wood	1995	26	seed_mix	yes	no	no	yes	1981-2000	21-30	AboveMedian	BelowMedian	8.78662371379823
WESTMEAD_FARM	2000	21	seed_mix	yes	no	yes	no	1981-2000	21-30	AboveMedian	BelowMedian	8.67460896335006
RSPB_orig_green	2006	15	Green_hay_bush	no	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	8.99207706661215
RSPB_churchil	2010	11	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	8.73740011062719
RSPB_junction	2007	14	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	9.09790532083509
RSPB_Mainline	2016	5	Green_hay_bush	no	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.95046313975426
Baltic_farm_1	2005	16	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	7.73314571000919
Baltic_farm_2	1998	23	Green_hay_bush	yes	yes	yes	no	1981-2000	21-30	AboveMedian	AboveMedian	8.35283399105076
WestEndFarm	2019	2	Green_hay_bush	yes	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	7.78442618226454
HorntonHouseFarm_1_parallel	2016	5	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.60934629180443
TownsendFarm_1	2017	4	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.72486856077776
TownsendFarm_2	2010	11	seed_mix	yes	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	8.82791310727856
TownsendFarm_3_big	2014	7	Green_hay_bush	yes	no	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	8.8048163754774
ChurchFarm	2012	9	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	9.00079691262193
StowellFarms_1_adj	2015	6	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	7.58006045431545
MannorFmAltonBarnes	2012	9	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.43121636208868
HommingtonFarm	2014	7	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	8.6839137345978
ThropeManor_1	2002	19	seed_mix	yes	no	yes	no	2001-2010	11-20	AboveMedian	BelowMedian	7.54483897196177
ThropeManor_2	1998	23	seed_mix	yes	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	7.49725501277101
ThropeManor_3	2000	21	seed_mix	yes	no	yes	no	1981-2000	21-30	AboveMedian	AboveMedian	8.11034852373498
MannorFmBroadChalke	2010	11	Green_hay_bush	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	8.29041949533099
BigleyFm_1	2014	7	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	7.57567952818043
BigleyFm_2	2017	4	seed_mix	yes	yes	yes	yes	2011-2020	0-10	BelowMedian	BelowMedian	7.32306573468344
NorringtonMannorFm_1	2009	12	seed_mix	no	no	yes	yes	2001-2010	11-20	BelowMedian	BelowMedian	8.10531536787126
NorringtonMannorFm_2	2009	12	seed_mix	no	no	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	8.50409807037373
ManorFmBerwickStJohn_1	2014	7	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	7.80985946198635
ManorFmBerwickStJohn_3	2018	3	seed_mix	yes	yes	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	7.83744029868509
Jemma_1	2010	11	Green_hay_bush	yes	yes	yes	no	2001-2010	11-20	BelowMedian	AboveMedian	8.21611234018078
Jemma_2	2008	13	Natural_regen	no	yes	no	no	2001-2010	11-20	BelowMedian	AboveMedian	8.2501636483579
Jemma_7	2014	7	Green_hay_bush	no	no	yes	yes	2011-2020	0-10	BelowMedian	AboveMedian	8.30390881953488
Jemma_4	2015	6	Green_hay_bush	yes	yes	yes	no	2011-2020	0-10	BelowMedian	BelowMedian	7.86174887334492
Jemma_5	2015	6	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.68253985246929
Jemma_6	2013	8	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	8.74969345895786
Jemma_9	2015	6	seed_mix	yes	no	yes	no	2011-2020	0-10	BelowMedian	AboveMedian	7.94664701314017
HomeFarm_WoodlandTrust_Hampshire_good_1c	1994	27	seed_mix	no	yes	no	no	1981-2000	21-30	AboveMedian	BelowMedian	8.17343618738664
Crux_easton_70b1	2000	21	seed_mix	no	no	yes	yes	1981-2000	21-30	AboveMedian	BelowMedian	8.42905156813889
Crux_easton_70b2	2002	19	seed_mix	yes	no	yes	no	2001-2010	11-20	AboveMedian	AboveMedian	8.53602725272111
Martin_Down_arabel_reversion	1957	64	Natural_regen	no	no	yes	yes	1940-60	61-70	AboveMedian	AboveMedian	7.72845156008022
Parsonage_down_reversion	1945	76	Natural_regen	no	yes	no	yes	1940-60	71-100	AboveMedian	AboveMedian	7.85282598884825
TARGET_MartinDown	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	7.61289005517352
TARGET_St_Catherines	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	7.46072386235728
TARGET_ParsonageDown	old	>100	Natural_regen	no	no	yes	unknown		100+	AboveMedian	AboveMedian	7.40790149036958
TARGET_KNEPP_A_New_Barn_Field	2006	15	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	7.74576510607295
Knepp_Pond_field	2003	18	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	7.11578401717607
Knepp_Benton_field	2005	16	Natural_regen	no	yes	no	unknown	2001-2010	11-20	AboveMedian	BelowMedian	7.84666003123765
