	Whitelands_2018/19_	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
Whitelands_2018/19_	0.0	0.5035420799093228	0.5253612921507509	0.588268631340323	0.6749787475205441	0.4837064324171153	0.5879852649475772	0.5466137716066874	0.5423632757155001	0.5369793142533296	0.529895154434684	0.5500141683196373	0.5672995182771323	0.5695664494190988	0.632473788608671	0.6285066591102295	0.49334088977047325	0.4508359308586002	0.6678945877018986	0.6018702181921224	0.607254179654293	0.5389628790025502	0.4888070274865401	0.5168603003683763	0.47690563899121563	0.5007084159818646	0.46273731935392465	0.6690280532728818	0.5590818928875035	0.6055539812978181	0.4429016718617172	0.6171720034003967	0.43950127514876736	0.6035704165485973	0.4471521677529045	0.9013884953244545	0.4205157268347974	0.5128931708699348	0.7203173703598753	0.6999149900821763	0.5803343723434401	0.5551147633890621	0.6911306319070558	0.6741286483423066	0.5843015018418816	0.5681496174553698	0.6993482572966846	0.6647775573816945	0.5964862567299518	0.5712666477755738	0.589968829696798	0.6565599319920657	0.5420799093227543	0.5372626806460754	0.6579767639557949	0.8654009634457354	0.534712383111363	0.5318787191839048	0.7021819212241428	0.6738452819495608	0.7052989515443469	0.757155001416832	0.7424199489940493	0.8945877018985549	0.9311419665627657	0.8954378010767923
Castle_Field_West_(W)	0.5035420799093228	0.0	0.38169453102862	0.4987248512326438	0.567866251062624	0.43100028336639273	0.5247945593652593	0.48682346273731936	0.501558515160102	0.4845565315953528	0.4443185038254463	0.4987248512326438	0.5276282232927175	0.52677812411448	0.5534145650325871	0.5670161518843865	0.4457353357891754	0.4893737602720317	0.6557098328138283	0.5701331822045905	0.5366959478605837	0.5400963445735336	0.4471521677529045	0.39869651459336924	0.4063474071975064	0.4525361292150751	0.4457353357891754	0.5715500141683196	0.43950127514876736	0.5341456503258714	0.4355341456503259	0.5406630773590252	0.4361008784358175	0.5494474355341457	0.44743553414565035	0.8736185888353641	0.5072258430150184	0.41824879569283085	0.6582601303485407	0.6200056673278549	0.4862567299518277	0.504675545480306	0.582034570699915	0.5970529895154435	0.5182771323321054	0.5035420799093228	0.6222725984698215	0.5854349674128648	0.5318787191839048	0.457353357891754	0.5140266364409181	0.6007367526211391	0.40011334655709835	0.39642958345140267	0.5670161518843865	0.8506659110229526	0.41994899404930575	0.4222159251912723	0.582034570699915	0.5525644658543497	0.5928024936242562	0.6644941909889487	0.6149050722584302	0.8713516576933975	0.902238594502692	0.867384528194956
Toposcope_Field_-_1980s	0.5253612921507509	0.38169453102862	0.0	0.4706715783508076	0.5661660527061491	0.45196939642958345	0.5092094077642392	0.5041088126948144	0.5165769339756305	0.4973080192689147	0.4514026636440918	0.5043921790875602	0.5304618872201757	0.5058090110512893	0.5335789175403797	0.5423632757155001	0.457353357891754	0.5259280249362426	0.6693114196656277	0.5862850665911022	0.5559648625672995	0.5483139699631624	0.46500425049589117	0.40238027769906487	0.4553697931425333	0.46132048739019554	0.49362425616321903	0.5879852649475772	0.46047038821195807	0.5389628790025502	0.4596202890337206	0.5213941626523094	0.43950127514876736	0.5364125814678379	0.4958911873051856	0.8838197789742137	0.5491640691413998	0.4361008784358175	0.6746953811277983	0.6330405213941627	0.4944743553414565	0.5443468404647209	0.5843015018418816	0.6188722017568716	0.5114763389062057	0.517427033153868	0.6406914139982998	0.5865684329838481	0.5451969396429583	0.47747237177670726	0.5049589118730519	0.6304902238594503	0.42930008500991784	0.4318503825446302	0.5706999149900822	0.8557665060923775	0.42844998583168037	0.4389345423632757	0.5916690280532729	0.5517143666761122	0.5865684329838481	0.6500425049589119	0.6202890337206007	0.8795692830830264	0.9169736469254747	0.8775857183338056
Bradenham_post-1986_b	0.588268631340323	0.4987248512326438	0.4706715783508076	0.0	0.6202890337206007	0.4735052422782658	0.5106262397279683	0.5179937659393596	0.5080759421932559	0.4820062340606404	0.501558515160102	0.49929158401813545	0.5097761405497307	0.4851232643808444	0.4137149334088977	0.4958911873051856	0.476338906205724	0.5332955511476339	0.7013318220459054	0.6049872485123264	0.5871351657693398	0.5412298101445169	0.4559365259280249	0.5018418815528478	0.45933692264097475	0.4888070274865401	0.5196939642958345	0.5477472371776707	0.46500425049589117	0.5443468404647209	0.5522810994616039	0.4907905922357608	0.5012751487673562	0.4958911873051856	0.5494474355341457	0.9223576083876452	0.5809011051289317	0.49475772173420235	0.7395862850665911	0.6591102295267781	0.5072258430150184	0.5525644658543497	0.5553981297818079	0.6406914139982998	0.5001416831963729	0.5256446585434967	0.7016151884386512	0.6089543780107679	0.47577217342023237	0.4485689997166336	0.5049589118730519	0.6358741853216209	0.5009917823746104	0.5009917823746104	0.5165769339756305	0.869084726551431	0.4726551431000283	0.4327004817228677	0.5803343723434401	0.5230943610087844	0.5684329838481156	0.6015868517993765	0.5817512043071692	0.9056389912156418	0.947860583734769	0.8999716633607254
Lardon_Chase_The_Holies_motorcycle	0.6749787475205441	0.567866251062624	0.5661660527061491	0.6202890337206007	0.0	0.559931992065741	0.6143383394729385	0.5896854633040521	0.6035704165485973	0.5936525928024936	0.5698498158118447	0.5942193255879853	0.6177387361858884	0.6038537829413432	0.6217058656843298	0.6052706149050723	0.5706999149900822	0.6225559648625673	0.7288183621422499	0.6749787475205441	0.6296401246812128	0.6659110229526778	0.6129215075092094	0.5219608954378011	0.5681496174553698	0.5874185321620856	0.5967696231226977	0.6149050722584302	0.5545480306035704	0.5817512043071692	0.5964862567299518	0.6140549730801926	0.5984698214791726	0.6160385378294134	0.6423916123547747	0.8727684896571266	0.6681779540946444	0.5386795126098045	0.7299518277132332	0.5758005100595069	0.5259280249362426	0.6511759705298952	0.5874185321620856	0.5423632757155001	0.5735335789175404	0.6296401246812128	0.6871635024086143	0.6540096344573534	0.6129215075092094	0.5477472371776707	0.5514310002833664	0.7041654859733636	0.5296117880419382	0.551997733068858	0.5970529895154435	0.8648342306602437	0.559931992065741	0.5366959478605837	0.6327571550014168	0.5681496174553698	0.6035704165485973	0.6528761688863701	0.6032870501558515	0.8753187871918391	0.8974213658260131	0.8790025502975347
Stonehenge_2000_2017a	0.4837064324171153	0.43100028336639273	0.45196939642958345	0.4735052422782658	0.559931992065741	0.0	0.4514026636440918	0.40068007934259	0.403797109662794	0.370643241711533	0.345423632757155	0.42958345140266363	0.43241711533012184	0.4689713799943327	0.5083593085860016	0.4973080192689147	0.3553414565032587	0.40606404080476055	0.619722300935109	0.5432133748937376	0.4944743553414565	0.47010484556531595	0.4114480022669311	0.3887786908472655	0.3255879852649476	0.3488240294701048	0.3714933408897705	0.5539812978180788	0.4281666194389345	0.5318787191839048	0.4244828563332389	0.5069424766222727	0.421082459620289	0.48994049305752335	0.4678379144233494	0.8719183904788892	0.4865400963445735	0.3757438367809578	0.6622272598469822	0.5894020969113063	0.4233493907622556	0.4754888070274865	0.5633323887786909	0.5831680362708983	0.47662227259846984	0.49192405780674414	0.6256729951827713	0.5514310002833664	0.47803910456219895	0.4471521677529045	0.4692547463870785	0.6069708132615472	0.4341173136865968	0.41853216208557664	0.506375743836781	0.848682346273732	0.41258146783791444	0.3947293850949277	0.5689997166336073	0.5276282232927175	0.5792009067724568	0.6361575517143667	0.5857183338056107	0.8682346273731936	0.9011051289317087	0.8659676962312269
Stonehenge_2003_2017b	0.5879852649475772	0.5247945593652593	0.5092094077642392	0.5106262397279683	0.6143383394729385	0.4514026636440918	0.0	0.3845281949560782	0.37546047038821195	0.38169453102862	0.4638707849249079	0.34060640408047604	0.34315670161518846	0.3686596769623123	0.4749220742419949	0.4273165202606971	0.46500425049589117	0.5341456503258714	0.6591102295267781	0.5803343723434401	0.534712383111363	0.5313119863984131	0.4837064324171153	0.5077925758005101	0.4859733635590819	0.46415415131765375	0.47152167752904506	0.5327288183621423	0.44460187021819214	0.5179937659393596	0.5420799093227543	0.43440068007934257	0.5463304052139416	0.4137149334088977	0.5715500141683196	0.8872201756871635	0.5905355624822896	0.5007084159818646	0.6851799376593936	0.5579484273165203	0.5009917823746104	0.5211107962595636	0.5182771323321054	0.5480306035704166	0.4528194956078209	0.45905355624822897	0.6364409181071125	0.5188438651175971	0.4706715783508076	0.47293850949277416	0.43383394729385094	0.5670161518843865	0.5233777274015302	0.5344290167186172	0.4397846415415132	0.8387645225276282	0.5049589118730519	0.4777557381694531	0.4661377160668745	0.5103428733352224	0.4930575233777274	0.5721167469538113	0.5415131765372627	0.869084726551431	0.9127231510342874	0.8577500708415982
Stonehenge_2009	0.5466137716066874	0.48682346273731936	0.5041088126948144	0.5179937659393596	0.5896854633040521	0.40068007934259	0.3845281949560782	0.0	0.32105412298101443	0.3357891754037971	0.41428166619438933	0.35874185321620855	0.36752621139132896	0.38367809577784073	0.522244261830547	0.4712383111362992	0.3969963162368943	0.49249079059223577	0.6491924057806744	0.5845848682346274	0.531595352791159	0.5307452536129215	0.48824029470104846	0.44913573250212524	0.4202323604420516	0.4128648342306602	0.39359591952394446	0.5185604987248512	0.429016718617172	0.5160102011901389	0.487390195522811	0.4709549447435534	0.5128931708699348	0.4471521677529045	0.5276282232927175	0.8790025502975347	0.5483139699631624	0.44318503825446304	0.705015585151601	0.5857183338056107	0.4514026636440918	0.5245111929725135	0.5752337772740153	0.5811844715216775	0.4712383111362992	0.46415415131765375	0.654576367242845	0.559931992065741	0.49475772173420235	0.46443751771039954	0.44318503825446304	0.5956361575517144	0.49702465287616887	0.49277415698498156	0.5001416831963729	0.8449985831680362	0.47010484556531595	0.46160385378294133	0.5522810994616039	0.5092094077642392	0.5375460470388213	0.6095211107962596	0.5672995182771323	0.8761688863700765	0.9090393879285916	0.8668177954094645
Stonehenge_2007_2016	0.5423632757155001	0.501558515160102	0.5165769339756305	0.5080759421932559	0.6035704165485973	0.403797109662794	0.37546047038821195	0.32105412298101443	0.0	0.3108529328421649	0.4173986965145934	0.3408897704732219	0.35052422782657977	0.3751771039954661	0.49702465287616887	0.47293850949277416	0.3961462170586568	0.476338906205724	0.6591102295267781	0.583451402663644	0.5434967412864834	0.5310286200056673	0.47747237177670726	0.4559365259280249	0.44176820629073393	0.41683196372910175	0.3952961178804194	0.5398129781807878	0.4443185038254463	0.5389628790025502	0.4828563332388779	0.4720884103145367	0.5160102011901389	0.44091810711249646	0.5361292150750921	0.8875035420799093	0.5477472371776707	0.44686880136015866	0.7052989515443469	0.5837347690563899	0.45423632757155	0.5143100028336639	0.563049022385945	0.5721167469538113	0.45621989232077076	0.4610371209974497	0.6693114196656277	0.5553981297818079	0.47152167752904506	0.4661377160668745	0.4465854349674129	0.5919523944460187	0.48994049305752335	0.49419098894871066	0.48909039387928593	0.8478322470954944	0.4706715783508076	0.4582034570699915	0.5466137716066874	0.5225276282232927	0.5483139699631624	0.621422499291584	0.5758005100595069	0.8818362142249929	0.9138566166052706	0.8764522527628223
Stonehenge_2005	0.5369793142533296	0.4845565315953528	0.4973080192689147	0.4820062340606404	0.5936525928024936	0.370643241711533	0.38169453102862	0.3357891754037971	0.3108529328421649	0.0	0.38367809577784073	0.3440068007934259	0.3474071975063757	0.3961462170586568	0.49277415698498156	0.4596202890337206	0.3845281949560782	0.46075375460470386	0.6534429016718617	0.5777840748087277	0.523661093794276	0.5092094077642392	0.46075375460470386	0.44970246528761687	0.41768206290733917	0.3884953244545197	0.36894304335505806	0.5247945593652593	0.4253329555114763	0.5123264380844432	0.47888920374043636	0.4624539529611788	0.48994049305752335	0.4312836497591386	0.5185604987248512	0.8897704732218759	0.5460470388211958	0.43156701615188436	0.7021819212241428	0.5828846698781525	0.44035137432700483	0.49617455369793145	0.5502975347123831	0.5809011051289317	0.4412014735052423	0.4582034570699915	0.6540096344573534	0.5553981297818079	0.4567866251062624	0.4565032587135166	0.4414848398979881	0.5953527911589686	0.4667044488523661	0.47945593652592805	0.4633040521394163	0.846982147917257	0.4525361292150751	0.4383678095777841	0.534712383111363	0.5001416831963729	0.5429300085009918	0.6174553697931425	0.5602153584584868	0.8792859166902806	0.9141399829980165	0.8741853216208557
