	Whitelands_2018/19_	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field
Whitelands_2018/19_	0.0	0.6522539098436062	0.6549356223175966	0.7091503267973857	0.7556701030927835	0.654468085106383	0.7327376116978067	0.7032	0.7048092868988391	0.6957605985037406	0.676818950930626	0.689419795221843	0.7094488188976378	0.7211538461538461	0.7554479418886199	0.7439446366782007	0.6607445008460237	0.6070175438596491	0.7862993298585257	0.7407749077490775	0.7252289758534555	0.6925826630920465	0.6500974658869396	0.6563573883161512	0.6159003831417624	0.6473029045643154	0.6244343891402715	0.7732793522267206	0.7016520894071915	0.7398119122257053	0.5976095617529881	0.7336601307189542	0.5920303605313093	0.7304560260586319	0.6005361930294906	0.9352290679304898	0.6015118790496761	0.654178674351585	0.8321884200196271	0.8077709611451943	0.7263374485596708	0.6983640081799591	0.8006134969325154	0.7888198757763976	0.7391752577319588	0.72265625	0.8080313418217434	0.7689969604863222	0.750996015936255	0.7221135029354208	0.7264791464597479	0.7975077881619937	0.6898106402164111	0.6957720588235294	0.7768762677484787	0.927536231884058	0.6763285024154589	0.6789328426862925	0.8174273858921162	0.7949238578680203	0.8145833333333333	0.8499496475327291	0.8459152016546019	0.9376744186046512	0.9692451071761417	0.944396177237185
Castle_Field_West_(W)	0.6522539098436062	0.0	0.5192697768762677	0.6386321626617375	0.6503067484662577	0.5730880929332043	0.6546296296296297	0.6409335727109515	0.6401869158878505	0.6181474480151229	0.5881782945736435	0.627281460134486	0.6418439716312057	0.6764444444444444	0.7048736462093863	0.6878048780487804	0.6062322946175638	0.6524112829845314	0.7845171588188348	0.7163265306122449	0.6887661141804788	0.6809338521400778	0.5909592061742006	0.548804780876494	0.5705128205128205	0.6014692378328742	0.6023738872403561	0.7076023391812866	0.6252796420581656	0.7055359246171967	0.5827886710239651	0.6821917808219178	0.5977596741344195	0.690712353471596	0.6183712121212122	0.9264705882352942	0.6545866364665912	0.5541899441340782	0.7966666666666666	0.745260663507109	0.6357056694813028	0.6504629629629629	0.7279236276849642	0.7269461077844311	0.6730083234244947	0.650561797752809	0.7639198218262806	0.7010550996483002	0.6980703745743473	0.6343963553530751	0.6747252747252748	0.7591499409681228	0.5241228070175439	0.5141562853907135	0.7161214953271028	0.9253034547152195	0.5888268156424581	0.5801282051282052	0.7402439024390244	0.7203791469194313	0.7593261131167268	0.7894736842105263	0.7814009661835749	0.9406345957011258	0.9679752066115702	0.9437559580552908
Toposcope_Field_-_1980s	0.6549356223175966	0.5192697768762677	0.0	0.6220472440944882	0.6776677667766776	0.5928571428571429	0.6407342657342657	0.6351351351351351	0.640174672489083	0.6292725679228747	0.5801457194899818	0.6366874443455031	0.6439834024896266	0.6436487638533674	0.6818181818181818	0.67612076852699	0.6060070671378092	0.65961049957663	0.7864077669902912	0.7181903864278982	0.6957264957264957	0.6935483870967742	0.6268656716417911	0.5278564683663833	0.5951219512195122	0.6063464837049742	0.6301989150090416	0.7294736842105263	0.625	0.7209797657082002	0.5998003992015968	0.6611785095320624	0.6060320452403393	0.6695205479452054	0.6461405030355594	0.9247397918334668	0.6930091185410334	0.5755102040816327	0.8066465256797583	0.7635782747603834	0.6568627450980392	0.6791666666666667	0.7359307359307359	0.7432578209277239	0.6803900325027086	0.6649590163934426	0.7782258064516129	0.7086446104589115	0.7043568464730291	0.6376963350785341	0.6734279918864098	0.765524625267666	0.5447236180904522	0.570273003033367	0.7344573234984194	0.9244635193133047	0.5884177869700103	0.6052631578947368	0.7582056892778993	0.7276641550053822	0.7590361445783133	0.7852564102564102	0.7937024972855592	0.9423255813953488	0.9661971830985916	0.9423076923076923
Bradenham_post-1986_b	0.7091503267973857	0.6386321626617375	0.6220472440944882	0.0	0.7060702875399361	0.5938053097345133	0.6341463414634146	0.6253164556962025	0.6215978928884986	0.609347442680776	0.641313742437338	0.6214285714285714	0.6377171215880894	0.6348936170212766	0.572744014732965	0.641860465116279	0.6056091148115688	0.6440101954120646	0.7902511078286558	0.705937794533459	0.6812339331619537	0.6479779411764706	0.5872210953346856	0.634231103388358	0.5947775628626693	0.6023890784982935	0.6283662477558348	0.7076271186440678	0.6355329949238578	0.7261280167890871	0.6578199052132702	0.6357267950963222	0.6286764705882353	0.6338273757628596	0.6717299578059072	0.940625	0.7149901380670611	0.6267056530214425	0.8346303501945526	0.7693920335429769	0.658772874058127	0.665625	0.703622392974753	0.744136460554371	0.6734913793103449	0.6516393442622951	0.8106796116504854	0.7233820459290188	0.6545842217484008	0.6340956340956341	0.6696878147029205	0.7595744680851064	0.6421933085501859	0.6525023607176582	0.6875675675675675	0.9243840271877655	0.624750499001996	0.5787401574803149	0.7398463227222832	0.7067099567099567	0.7489082969432315	0.7621097954790097	0.7648351648351648	0.9400921658986175	0.9732718894009217	0.9438687392055267
Lardon_Chase_The_Holies_motorcycle	0.7556701030927835	0.6503067484662577	0.6776677667766776	0.7060702875399361	0.0	0.6796959826275787	0.6982570806100218	0.6903023983315955	0.6903719912472648	0.6870229007633588	0.6633221850613155	0.6768361581920904	0.7065989847715736	0.7014767932489452	0.7065934065934066	0.6776155717761557	0.6803900325027086	0.722048066875653	0.8287037037037037	0.7531172069825436	0.7312295973884657	0.7335640138408305	0.6596583442838371	0.6297142857142857	0.6415094339622641	0.6972193614830072	0.6978579481397971	0.646964856230032	0.6362359550561798	0.6735015772870663	0.6814159292035398	0.7147505422993492	0.7018561484918794	0.7133620689655172	0.7450365726227796	0.9221491228070176	0.710124826629681	0.6093959731543624	0.8060781476121563	0.7285714285714285	0.5942028985507246	0.7047075606276747	0.6946688206785138	0.7078651685393258	0.6466876971608833	0.6847977684797768	0.7616279069767442	0.7256371814092953	0.682962962962963	0.638205499276411	0.6685393258426966	0.7724458204334366	0.6297229219143576	0.6329442282749675	0.6838810641627543	0.9136253041362531	0.6617842876165113	0.6269230769230769	0.6974789915966386	0.6067796610169491	0.6509598603839442	0.7006688963210702	0.6893542757417103	0.9385245901639344	0.9548660084626234	0.9427860696517413
Stonehenge_2000_2017a	0.654468085106383	0.5730880929332043	0.5928571428571429	0.5938053097345133	0.6796959826275787	0.0	0.5902964959568733	0.5394265232974911	0.552073732718894	0.5014245014245015	0.4801932367149758	0.5614525139664804	0.5780845556514237	0.6139896373056994	0.6418563922942206	0.6294559099437148	0.5204460966542751	0.582963620230701	0.7630188679245283	0.6876790830945558	0.6443661971830986	0.6268656716417911	0.5673175745118191	0.5502304147465438	0.47429171038824763	0.4866112650046168	0.5241312741312741	0.6996805111821086	0.5856992639327024	0.7129237288135594	0.5886454183266933	0.6443478260869565	0.5875118259224219	0.6365217391304347	0.631624674196351	0.9255740300870943	0.6570545829042225	0.5433884297520661	0.8033932135728543	0.7552966101694916	0.6004489337822672	0.6405090137857901	0.7193932827735645	0.7308934337997847	0.6724137931034483	0.6547497446373851	0.7776669990029911	0.6964856230031949	0.6705263157894736	0.6358921161825726	0.6565040650406504	0.7571884984025559	0.603629417382999	0.6027397260273972	0.6864864864864865	0.9244482173174873	0.5942915392456677	0.5491967871485943	0.7483660130718954	0.6871569703622393	0.7505446623093682	0.7768331562167906	0.7582781456953642	0.933271547729379	0.9618249534450651	0.9365768896611643
Stonehenge_2003_2017b	0.7327376116978067	0.6546296296296297	0.6407342657342657	0.6341463414634146	0.6982570806100218	0.5902964959568733	0.0	0.5184162062615101	0.5209923664122137	0.5227703984819735	0.605570530098832	0.476	0.4751640112464855	0.5	0.6178861788617886	0.5798816568047337	0.6121908127208481	0.668918918918919	0.7751703255109765	0.7077363896848138	0.6745200698080279	0.6833030852994555	0.6365441906653426	0.6362038664323374	0.6339370829361296	0.6027633851468048	0.631578947368421	0.6813186813186813	0.6033755274261603	0.6879120879120879	0.6755218216318786	0.5746061167747915	0.6786355475763016	0.5636025998142989	0.7082294264339152	0.9243156199677939	0.7182817182817183	0.6328740157480315	0.8136958710976838	0.7360350492880613	0.6512651265126512	0.6740273396424816	0.6955056179775281	0.6959459459459459	0.6408529741863075	0.604951560818084	0.779128672745694	0.6692477876106194	0.6381578947368421	0.6234042553191489	0.5965480043149946	0.7252502780867631	0.6607806691449815	0.6663507109004739	0.6354285714285715	0.9212121212121213	0.624113475177305	0.6161321671525753	0.6698113207547169	0.6782902137232846	0.6952491309385863	0.7317620650953984	0.7147846332945286	0.9369708372530574	0.9620493358633776	0.9363395225464191
Stonehenge_2009	0.7032	0.6409335727109515	0.6351351351351351	0.6253164556962025	0.6903023983315955	0.5394265232974911	0.5184162062615101	0.0	0.4583732057416268	0.4850187265917603	0.5623885918003565	0.49477682811016144	0.5127753303964758	0.5273052820053715	0.6494057724957555	0.6050185873605948	0.5493333333333333	0.6335559265442404	0.7833333333333333	0.7168784029038112	0.6666666666666666	0.6760070052539404	0.6290630975143403	0.5888013998250219	0.5771428571428572	0.5463203463203463	0.5618698441796517	0.6641949152542372	0.601010101010101	0.7008281573498965	0.6332082551594747	0.608355091383812	0.6552631578947369	0.6017391304347826	0.6816326530612244	0.9295019157088122	0.7001934235976789	0.6017357762777242	0.8222433460076045	0.748712667353244	0.6409714889123548	0.6673387096774194	0.7323651452282157	0.7288842544316997	0.6582278481012658	0.6181262729124236	0.7896749521988528	0.7035897435897436	0.6635897435897435	0.6354481369587109	0.6144455747711088	0.753099173553719	0.6468468468468469	0.663023679417122	0.6817226890756303	0.9251644736842105	0.6329479768786127	0.6160298229263746	0.7417989417989418	0.692063492063492	0.7263948497854077	0.7658031088082902	0.7513397642015005	0.9366071428571429	0.9650537634408602	0.9378151260504202
Stonehenge_2007_2016	0.7048092868988391	0.6401869158878505	0.640174672489083	0.6215978928884986	0.6903719912472648	0.552073732718894	0.5209923664122137	0.4583732057416268	0.0	0.436308926780341	0.5517241379310345	0.4647887323943662	0.4846511627906977	0.5037735849056604	0.6345811051693404	0.594541910331384	0.5502304147465438	0.6218340611353712	0.7874251497005988	0.7095238095238096	0.6669588080631026	0.6742700729927007	0.625	0.5949367088607594	0.6	0.5418541854185418	0.5438765670202508	0.6569832402234637	0.610062893081761	0.6943231441048034	0.6253687315634219	0.5753931544865865	0.6526508226691042	0.5723502304147465	0.6813559322033899	0.9330143540669856	0.6927772126144456	0.6020100502512563	0.827037773359841	0.7338444687842278	0.5949656750572082	0.6705263157894736	0.7163355408388521	0.7082405345211581	0.6262740656851642	0.6012931034482759	0.7990049751243781	0.6844978165938864	0.6404371584699453	0.6168623265741728	0.601931330472103	0.7398463227222832	0.6399622997172478	0.6490891658676894	0.6606942889137738	0.9250645994832042	0.615071283095723	0.6005888125613347	0.7246049661399548	0.6760404949381328	0.7239819004524887	0.76013143483023	0.7345537757437071	0.9400749063670412	0.9650613786591123	0.9448336252189142
Stonehenge_2005	0.6957605985037406	0.6181474480151229	0.6292725679228747	0.609347442680776	0.6870229007633588	0.5014245014245015	0.5227703984819735	0.4850187265917603	0.436308926780341	0.0	0.5161596958174905	0.47005988023952094	0.49494020239190434	0.5425434583714547	0.6197309417040359	0.5959302325581395	0.5205992509363296	0.6084284460052678	0.780359820089955	0.6941514860977949	0.6453900709219859	0.6443825441039925	0.6012145748987854	0.577028258887876	0.5666003976143141	0.5168641750227895	0.52	0.6655629139072847	0.5879237288135594	0.6866812227074236	0.6171259842519685	0.5961887477313974	0.6287037037037037	0.5592592592592592	0.6606683804627249	0.9308426073131956	0.6856561546286877	0.5921450151057401	0.8235877106045589	0.73449401523395	0.6029411764705882	0.6344086021505376	0.7028824833702882	0.7133406835722161	0.6353467561521253	0.6219640971488912	0.7908366533864541	0.6883116883116883	0.6267837541163557	0.6313025210084033	0.603411513859275	0.7321624588364435	0.6268939393939394	0.6423777564717162	0.6360544217687075	0.9227467811158798	0.5936213991769548	0.5923379174852652	0.7050113895216401	0.6756152125279642	0.7261503928170595	0.7633007600434311	0.7294520547945206	0.9375	0.9633458646616542	0.9387040280210157
