sampleid	Site	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	categorical
GP146	Whitelands_2018/19_	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP147	Whitelands_2018/19_	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP148	Whitelands_2018/19_	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP149	Whitelands_2018/19_	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP150	Whitelands_2018/19_	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	8.03	136.4	0	0	1	1
GP151	Castle_Field_West_(W)	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP152	Castle_Field_West_(W)	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP153	Castle_Field_West_(W)	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP154	Castle_Field_West_(W)	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP155	Castle_Field_West_(W)	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	7.93	139.3	0	1	1	1
GP156	Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP157	Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP158	Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP159	Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP160	Toposcope_Field_-_1980s	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	7.94	139.7	0	1	1	0
GP161	Bradenham_post-1986_b	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP162	Bradenham_post-1986_b	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP163	Bradenham_post-1986_b	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP164	Bradenham_post-1986_b	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP165	Bradenham_post-1986_b	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	7.84	151.7	0	1	1	1
GP166	Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP167	Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP168	Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP169	Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP170	Lardon_Chase_The_Holies_motorcycle	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	7.94	135.7	0	0	1	0
GP171	Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay/bush	7.88	144.3	0	1	1	1
GP172	Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay/bush	7.88	144.3	0	1	1	1
GP173	Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay/bush	7.88	144.3	0	1	1	1
GP174	Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay/bush	7.88	144.3	0	1	1	1
GP175	Stonehenge_2000_2017a	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay/bush	7.88	144.3	0	1	1	1
GP176	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	0	1	1	1
GP177	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	0	1	1	1
GP178	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	0	1	1	1
GP179	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	0	1	1	1
GP180	Stonehenge_2003_2017b	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay/bush	7.69	184.4	0	1	1	1
GP181	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	0	0	1	1
GP182	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	0	0	1	1
GP183	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	0	0	1	1
GP184	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	0	0	1	1
GP185	Stonehenge_2009	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay/bush	7.82	156.5	0	0	1	1
GP186	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	0	1	1	1
GP187	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	0	1	1	1
GP188	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	0	1	1	1
GP189	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	0	1	1	1
GP190	Stonehenge_2007_2016	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay/bush	7.87	158.8	0	1	1	1
GP191	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	0	0	1	1
GP192	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	0	0	1	1
GP193	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	0	0	1	1
GP194	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	0	0	1	1
GP195	Stonehenge_2005	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay/bush	7.85	145	0	0	1	1
GP196	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	0	1	1	1
GP197	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	0	1	1	1
GP198	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	0	1	1	1
GP199	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	0	1	1	1
GP200	Stonehenge_2002_2017	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay/bush	7.91	130.3	0	1	1	1
GP201	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	0	1	1	1
GP202	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	0	1	1	1
GP203	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	0	1	1	1
GP204	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	0	1	1	1
GP205	Stonehenge_2010	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay/bush	7.69	202	0	1	1	1
GP206	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	0	1	1	1
GP207	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	0	1	1	1
GP208	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	0	1	1	1
GP209	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	0	1	1	1
GP210	Stonehenge_2011	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay/bush	7.85	174.3	0	1	1	1
GP211	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	1	0	1	1
GP212	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	1	0	1	1
GP213	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	1	0	1	1
GP214	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	1	0	1	1
GP215	Stonehenge_-_Luxenborough_BankB	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay/bush	7.78	186.6	1	0	1	1
GP216	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP217	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP218	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP219	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	0	0	1	0
GP220	Watlington_natural_reversion	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	7.8	147.5	0	0	1	0
