sampleid	Site
#q2:types	categorical
GP146	Whitelands_2018/19_
GP147	Whitelands_2018/19_
GP148	Whitelands_2018/19_
GP149	Whitelands_2018/19_
GP150	Whitelands_2018/19_
GP151	Castle_Field_West_(W)
GP152	Castle_Field_West_(W)
GP153	Castle_Field_West_(W)
GP154	Castle_Field_West_(W)
GP155	Castle_Field_West_(W)
GP156	Toposcope_Field_-_1980s
GP157	Toposcope_Field_-_1980s
GP158	Toposcope_Field_-_1980s
GP159	Toposcope_Field_-_1980s
GP160	Toposcope_Field_-_1980s
GP161	Bradenham_post-1986_b
GP162	Bradenham_post-1986_b
GP163	Bradenham_post-1986_b
GP164	Bradenham_post-1986_b
GP165	Bradenham_post-1986_b
GP166	Lardon_Chase_The_Holies_motorcycle
GP167	Lardon_Chase_The_Holies_motorcycle
GP168	Lardon_Chase_The_Holies_motorcycle
GP169	Lardon_Chase_The_Holies_motorcycle
GP170	Lardon_Chase_The_Holies_motorcycle
GP171	Stonehenge_2000_2017a
GP172	Stonehenge_2000_2017a
GP173	Stonehenge_2000_2017a
GP174	Stonehenge_2000_2017a
GP175	Stonehenge_2000_2017a
GP176	Stonehenge_2003_2017b
GP177	Stonehenge_2003_2017b
GP178	Stonehenge_2003_2017b
GP179	Stonehenge_2003_2017b
GP180	Stonehenge_2003_2017b
GP181	Stonehenge_2009
GP182	Stonehenge_2009
GP183	Stonehenge_2009
GP184	Stonehenge_2009
GP185	Stonehenge_2009
GP186	Stonehenge_2007_2016
GP187	Stonehenge_2007_2016
GP188	Stonehenge_2007_2016
GP189	Stonehenge_2007_2016
GP190	Stonehenge_2007_2016
GP191	Stonehenge_2005
GP192	Stonehenge_2005
GP193	Stonehenge_2005
GP194	Stonehenge_2005
GP195	Stonehenge_2005
GP196	Stonehenge_2002_2017
GP197	Stonehenge_2002_2017
GP198	Stonehenge_2002_2017
GP199	Stonehenge_2002_2017
GP200	Stonehenge_2002_2017
GP201	Stonehenge_2010
GP202	Stonehenge_2010
GP203	Stonehenge_2010
GP204	Stonehenge_2010
GP205	Stonehenge_2010
GP206	Stonehenge_2011
GP207	Stonehenge_2011
GP208	Stonehenge_2011
GP209	Stonehenge_2011
GP210	Stonehenge_2011
GP211	Stonehenge_-_Luxenborough_BankB
GP212	Stonehenge_-_Luxenborough_BankB
GP213	Stonehenge_-_Luxenborough_BankB
GP214	Stonehenge_-_Luxenborough_BankB
GP215	Stonehenge_-_Luxenborough_BankB
GP216	Watlington_natural_reversion
GP217	Watlington_natural_reversion
GP218	Watlington_natural_reversion
GP219	Watlington_natural_reversion
GP220	Watlington_natural_reversion
GP221	St_Catherines_A3
GP222	St_Catherines_A3
GP223	St_Catherines_A3
GP224	St_Catherines_A3
GP225	St_Catherines_A3
GP226	HARLEY_FARMS_Chittern
GP227	HARLEY_FARMS_Chittern
