Group 1,Group 2,H,p-value,q-value
Q1 (n=62),Q10 (n=65),0.020936724565729037,0.884951464558493,0.9581929359299107
Q1 (n=62),Q13 (n=64),0.5429498983997973,0.46121275761724545,0.9581929359299107
Q1 (n=62),Q4 (n=64),0.4339836804673496,0.5100406631284815,0.9581929359299107
Q1 (n=62),Q7 (n=64),0.22405226060453742,0.6359694948011654,0.9581929359299107
Q10 (n=65),Q13 (n=64),0.1718343195266243,0.6784867088094247,0.9581929359299107
Q10 (n=65),Q4 (n=64),0.10564349112422633,0.7451595422486477,0.9581929359299107
Q10 (n=65),Q7 (n=64),0.022721893491109313,0.8801825298980283,0.9581929359299107
Q13 (n=64),Q4 (n=64),0.0027480014534830843,0.9581929359299107,0.9581929359299107
Q13 (n=64),Q7 (n=64),0.10194858284882002,0.749503671820571,0.9581929359299107
Q4 (n=64),Q7 (n=64),0.09013898982556157,0.7640005331723767,0.9581929359299107
