Group 1,Group 2,H,p-value,q-value
Q1 (n=62),Q10 (n=65),1.198720533498772,0.2735775524460684,0.8927345488843688
Q1 (n=62),Q13 (n=64),0.06193643637288915,0.8034610939959319,0.8927345488843688
Q1 (n=62),Q4 (n=64),0.008596329692693416,0.9261288726861204,0.9261288726861204
Q1 (n=62),Q7 (n=64),0.42757810515621486,0.5131797342631736,0.8927345488843688
Q10 (n=65),Q13 (n=64),0.7109689349111932,0.39912233654694174,0.8927345488843688
Q10 (n=65),Q4 (n=64),0.9507914201183212,0.32951792992770795,0.8927345488843688
Q10 (n=65),Q7 (n=64),0.1757618343195304,0.6750410407031876,0.8927345488843688
Q13 (n=64),Q4 (n=64),0.08175872093022463,0.774928044575833,0.8927345488843688
Q13 (n=64),Q7 (n=64),0.22710755813955075,0.6336768740553809,0.8927345488843688
Q4 (n=64),Q7 (n=64),0.4451308139534831,0.5046563693176223,0.8927345488843688
