Group 1,Group 2,H,p-value,q-value
1 (n=1),10 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),11 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),12 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),13 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),14 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),15 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),16 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),17 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),18 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),19 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),2 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),21 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),22 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),23 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),24 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),25 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),26 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),27 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),28 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),29 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),3 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),30 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),31 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),32 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),33 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),34 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),35 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),36 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),38 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),39 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),4 (n=1),1.0,0.31731050786291115,0.3237760824745379
1 (n=1),40 (n=1),1.0,0.31731050786291115,0.3237760824745379
