id	site_code	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
GF146	1	Whitelands_2018_19	Q1	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	6.50732004799639
GF147	NA	Whitelands_2018_19	Q4	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	6.4405706620157
GF148	NA	Whitelands_2018_19	Q7	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	5.28027079076089
GF149	NA	Whitelands_2018_19	Q10	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	7.11451791470557
GF150	NA	Whitelands_2018_19	Q13	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	5.28902616832456
GF151	2	Castle_Field_West_(W)	Q1	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.92655806224022
GF152	NA	Castle_Field_West_(W)	Q4	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.90257941397215
GF153	NA	Castle_Field_West_(W)	Q7	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.50156494694332
GF154	NA	Castle_Field_West_(W)	Q10	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.75807506677343
GF155	NA	Castle_Field_West_(W)	Q13	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.19114899838748
GF156	3	Toposcope_Field_-_1980s	Q1	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	4.92230358697862
GF157	NA	Toposcope_Field_-_1980s	Q4	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.11441328628336
GF158	NA	Toposcope_Field_-_1980s	Q7	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	6.37243236778745
GF159	NA	Toposcope_Field_-_1980s	Q10	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.67285527316527
GF160	NA	Toposcope_Field_-_1980s	Q13	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.36421353548124
GF161	4	Bradenham_post-1986_b	Q1	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.10590473661123
GF162	NA	Bradenham_post-1986_b	Q4	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.1156562206941
GF163	NA	Bradenham_post-1986_b	Q7	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.24214362160998
GF164	NA	Bradenham_post-1986_b	Q10	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.48418639780626
GF165	NA	Bradenham_post-1986_b	Q13	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.13044276855108
GF167	NA	Lardon_Chase_The_Holies_motorcycle	Q4	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	5.76186847188992
GF168	NA	Lardon_Chase_The_Holies_motorcycle	Q7	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	6.16689501021638
GF169	NA	Lardon_Chase_The_Holies_motorcycle	Q10	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	6.91417057984118
GF170	NA	Lardon_Chase_The_Holies_motorcycle	Q13	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	4.15916565509022
GF171	6	Stonehenge_2000_2017a	Q1	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	4.30738644448782
GF172	NA	Stonehenge_2000_2017a	Q4	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.19457433670749
GF173	NA	Stonehenge_2000_2017a	Q7	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.23337877116333
GF174	NA	Stonehenge_2000_2017a	Q10	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.27879442673681
GF175	NA	Stonehenge_2000_2017a	Q13	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.11632781161853
GF176	7	Stonehenge_2003_2017b	Q1	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	7.08971012153488
