Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes
k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis	666.0	1477.0	2386.0	3592.0	6343.0	43.0	985.5	1383.0	3112.25	6651.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	1.0	200.75	288.0	852.75	2004.0	5.0	149.5	365.0	600.0	1407.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis	1.0	62.5	140.5	391.75	1511.0	1.0	28.25	148.0	310.5	2118.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	2.0	63.75	129.0	284.0	1160.0	16.0	122.75	186.5	269.25	642.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	77.0	717.75	1091.5	1697.25	2887.0	226.0	537.0	836.5	1108.0	1816.0
k__Fungi;__;__;__;__;__	203.0	299.25	496.0	714.75	1542.0	46.0	237.25	437.0	689.75	1970.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__	13.0	142.25	264.5	399.0	734.0	1.0	50.0	93.5	274.5	856.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;__	1.0	37.25	90.5	173.25	856.0	1.0	69.0	114.0	441.25	2250.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	8.0	72.5	155.0	327.25	831.0	1.0	44.0	154.0	335.25	923.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	3.0	20.5	65.0	127.75	764.0	1.0	14.75	45.0	113.75	1490.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Keithomyces	1.0	1.0	8.5	78.25	719.0	1.0	1.0	15.0	361.25	1914.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierellaceae_gen_Incertae_sedis	1.0	136.0	214.5	395.5	1030.0	1.0	27.75	118.5	265.0	647.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	3.0	66.75	101.5	160.25	357.0	1.0	44.25	140.5	189.0	272.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	1.0	59.0	143.5	249.0	607.0	1.0	59.0	129.0	235.25	2570.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	1.0	1.0	1.0	25.75	937.0	1.0	1.0	1.0	2.75	4715.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	13.0	70.0	111.0	175.0	342.0	1.0	56.75	96.5	214.5	418.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Dermoloma	1.0	1.0	1.0	1.0	432.0	1.0	1.0	1.0	1.0	5909.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis	2.0	46.5	116.5	335.25	806.0	5.0	39.25	111.0	289.75	1005.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma	1.0	1.0	1.0	1.0	132.0	1.0	1.0	1.0	10.25	1269.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia	1.0	1.0	42.5	84.75	1270.0	1.0	28.5	92.0	179.75	462.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis	1.0	32.75	87.0	142.75	393.0	18.0	57.0	120.5	154.75	235.0
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis	1.0	142.0	181.5	232.25	1326.0	5.0	104.0	157.5	208.0	1147.0
