Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes
k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis	43.0	462.5	720.0	3035.5	4311.0	681.0	1283.5	2232.5	3431.0	6651.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	1.0	7.25	17.0	321.25	613.0	32.0	218.75	366.5	774.0	2004.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis	7.0	18.5	119.5	357.0	1511.0	1.0	54.0	146.0	336.25	2118.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	8.0	78.5	170.5	245.25	1160.0	2.0	91.0	153.5	284.0	662.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	289.0	543.5	947.5	1295.75	2887.0	77.0	703.25	930.0	1270.5	2381.0
k__Fungi;__;__;__;__;__	46.0	151.0	220.0	529.25	1389.0	161.0	287.0	468.0	705.25	1970.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__	1.0	1.0	44.0	112.25	165.0	1.0	92.75	231.0	392.25	856.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;__	38.0	73.5	101.5	545.5	2250.0	1.0	50.5	112.5	216.0	1058.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	15.0	45.25	123.5	308.0	403.0	1.0	64.0	155.0	327.25	923.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	2.0	31.0	91.0	405.0	1490.0	1.0	17.0	51.0	113.25	396.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Keithomyces	1.0	2.75	132.0	345.5	1914.0	1.0	1.0	10.0	250.25	1182.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierellaceae_gen_Incertae_sedis	2.0	33.5	80.5	270.5	612.0	1.0	76.5	164.0	373.25	1030.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	1.0	33.75	97.0	177.25	221.0	3.0	58.75	116.5	177.25	357.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	17.0	49.25	138.0	515.25	914.0	1.0	63.25	132.0	235.75	2570.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	19.75	4715.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	14.0	43.0	83.0	109.5	286.0	1.0	58.25	109.0	196.0	418.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Dermoloma	1.0	1.0	1.0	1.0	5909.0	1.0	1.0	1.0	1.0	547.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis	5.0	10.75	34.0	114.25	1005.0	2.0	48.5	122.0	335.25	819.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma	1.0	1.0	66.5	446.5	1269.0	1.0	1.0	1.0	1.0	837.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia	1.0	4.25	51.0	127.0	207.0	1.0	18.0	62.0	175.25	1270.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis	13.0	65.25	125.5	138.5	186.0	1.0	40.5	89.5	154.25	393.0
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis	5.0	103.5	183.0	400.25	1326.0	1.0	119.0	173.5	221.25	1147.0
