	SubjectID1	SubjectID2	Group1	Group2	Distance
0	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_New1	No	No	0.9362186788154897
1	Jemma_2	HARLEY_FARMS_New1	No	No	0.8117647058823529
2	Jemma_2	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9212121212121213
3	Jemma_7	HARLEY_FARMS_New1	No	No	0.8215158924205379
4	Jemma_7	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9188311688311688
5	Jemma_7	Jemma_2	No	No	0.6797153024911032
6	Knepp_Pond_field	HARLEY_FARMS_New1	No	No	0.9499036608863198
7	Knepp_Pond_field	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.8454810495626822
8	Knepp_Pond_field	Jemma_2	No	No	0.9440389294403893
9	Knepp_Pond_field	Jemma_7	No	No	0.9461538461538461
10	Lardon_Chase_The_Holies_motorcycle	HARLEY_FARMS_New1	No	No	0.8839907192575406
11	Lardon_Chase_The_Holies_motorcycle	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9290322580645162
12	Lardon_Chase_The_Holies_motorcycle	Jemma_2	No	No	0.7947882736156352
13	Lardon_Chase_The_Holies_motorcycle	Jemma_7	No	No	0.8156996587030717
14	Lardon_Chase_The_Holies_motorcycle	Knepp_Pond_field	No	No	0.9487179487179487
15	NorringtonMannorFm_1	HARLEY_FARMS_New1	No	No	0.8326996197718631
16	NorringtonMannorFm_1	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9186046511627907
17	NorringtonMannorFm_1	Jemma_2	No	No	0.7456359102244389
18	NorringtonMannorFm_1	Jemma_7	No	No	0.7096774193548387
19	NorringtonMannorFm_1	Knepp_Pond_field	No	No	0.9352941176470588
20	NorringtonMannorFm_1	Lardon_Chase_The_Holies_motorcycle	No	No	0.8649289099526066
21	NorringtonMannorFm_2	HARLEY_FARMS_New1	No	No	0.8860510805500982
22	NorringtonMannorFm_2	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9254498714652957
23	NorringtonMannorFm_2	Jemma_2	No	No	0.8125
24	NorringtonMannorFm_2	Jemma_7	No	No	0.7938718662952646
25	NorringtonMannorFm_2	Knepp_Pond_field	No	No	0.9535864978902954
26	NorringtonMannorFm_2	Lardon_Chase_The_Holies_motorcycle	No	No	0.8355795148247979
27	NorringtonMannorFm_2	NorringtonMannorFm_1	No	No	0.7609649122807017
28	Parsonage_down_reversion	HARLEY_FARMS_New1	No	No	0.8858195211786372
29	Parsonage_down_reversion	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9345794392523364
30	Parsonage_down_reversion	Jemma_2	No	No	0.8096385542168675
31	Parsonage_down_reversion	Jemma_7	No	No	0.8312655086848635
32	Parsonage_down_reversion	Knepp_Pond_field	No	No	0.9404761904761905
33	Parsonage_down_reversion	Lardon_Chase_The_Holies_motorcycle	No	No	0.810126582278481
34	Parsonage_down_reversion	NorringtonMannorFm_1	No	No	0.822265625
35	Parsonage_down_reversion	NorringtonMannorFm_2	No	No	0.8440748440748441
36	RSPB_Mainline	HARLEY_FARMS_New1	No	No	0.7756410256410257
37	RSPB_Mainline	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9319899244332494
38	RSPB_Mainline	Jemma_2	No	No	0.7513513513513513
39	RSPB_Mainline	Jemma_7	No	No	0.7238372093023255
40	RSPB_Mainline	Knepp_Pond_field	No	No	0.9606625258799172
41	RSPB_Mainline	Lardon_Chase_The_Holies_motorcycle	No	No	0.8443271767810027
42	RSPB_Mainline	NorringtonMannorFm_1	No	No	0.7532751091703057
43	RSPB_Mainline	NorringtonMannorFm_2	No	No	0.806378132118451
44	RSPB_Mainline	Parsonage_down_reversion	No	No	0.8530612244897959
45	RSPB_churchil	HARLEY_FARMS_New1	No	No	0.8163716814159292
46	RSPB_churchil	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9307479224376731
47	RSPB_churchil	Jemma_2	No	No	0.7529411764705882
48	RSPB_churchil	Jemma_7	No	No	0.7585139318885449
49	RSPB_churchil	Knepp_Pond_field	No	No	0.9596412556053812
50	RSPB_churchil	Lardon_Chase_The_Holies_motorcycle	No	No	0.7878787878787878
51	RSPB_churchil	NorringtonMannorFm_1	No	No	0.7775229357798165
52	RSPB_churchil	NorringtonMannorFm_2	No	No	0.7910447761194029
53	RSPB_churchil	Parsonage_down_reversion	No	No	0.8224719101123595
54	RSPB_churchil	RSPB_Mainline	No	No	0.6844919786096256
55	RSPB_junction	HARLEY_FARMS_New1	No	No	0.8434782608695652
56	RSPB_junction	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9150141643059491
57	RSPB_junction	Jemma_2	No	No	0.7470238095238095
58	RSPB_junction	Jemma_7	No	No	0.7243589743589743
59	RSPB_junction	Knepp_Pond_field	No	No	0.9450800915331807
60	RSPB_junction	Lardon_Chase_The_Holies_motorcycle	No	No	0.8042168674698795
61	RSPB_junction	NorringtonMannorFm_1	No	No	0.7320574162679426
62	RSPB_junction	NorringtonMannorFm_2	No	No	0.712
63	RSPB_junction	Parsonage_down_reversion	No	No	0.8077803203661327
64	RSPB_junction	RSPB_Mainline	No	No	0.6565934065934066
65	RSPB_junction	RSPB_churchil	No	No	0.6456456456456456
66	Stonehenge_2000_2017a	HARLEY_FARMS_New1	No	No	0.8379373848987108
67	Stonehenge_2000_2017a	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9288888888888889
68	Stonehenge_2000_2017a	Jemma_2	No	No	0.7529976019184652
69	Stonehenge_2000_2017a	Jemma_7	No	No	0.7907542579075426
70	Stonehenge_2000_2017a	Knepp_Pond_field	No	No	0.9473684210526315
71	Stonehenge_2000_2017a	Lardon_Chase_The_Holies_motorcycle	No	No	0.819047619047619
72	Stonehenge_2000_2017a	NorringtonMannorFm_1	No	No	0.7690802348336595
73	Stonehenge_2000_2017a	NorringtonMannorFm_2	No	No	0.8
74	Stonehenge_2000_2017a	Parsonage_down_reversion	No	No	0.7819253438113949
75	Stonehenge_2000_2017a	RSPB_Mainline	No	No	0.7800829875518672
76	Stonehenge_2000_2017a	RSPB_churchil	No	No	0.7089201877934272
77	Stonehenge_2000_2017a	RSPB_junction	No	No	0.6819277108433734
78	Stonehenge_2002_2017	HARLEY_FARMS_New1	No	No	0.8413654618473896
79	Stonehenge_2002_2017	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.93
80	Stonehenge_2002_2017	Jemma_2	No	No	0.7540106951871658
81	Stonehenge_2002_2017	Jemma_7	No	No	0.748587570621469
82	Stonehenge_2002_2017	Knepp_Pond_field	No	No	0.9523809523809523
83	Stonehenge_2002_2017	Lardon_Chase_The_Holies_motorcycle	No	No	0.8086253369272237
84	Stonehenge_2002_2017	NorringtonMannorFm_1	No	No	0.7739872068230277
85	Stonehenge_2002_2017	NorringtonMannorFm_2	No	No	0.8054298642533937
86	Stonehenge_2002_2017	Parsonage_down_reversion	No	No	0.7931769722814499
87	Stonehenge_2002_2017	RSPB_Mainline	No	No	0.7808219178082192
88	Stonehenge_2002_2017	RSPB_churchil	No	No	0.731457800511509
89	Stonehenge_2002_2017	RSPB_junction	No	No	0.7227979274611399
90	Stonehenge_2002_2017	Stonehenge_2000_2017a	No	No	0.6135831381733021
91	Stonehenge_2005	HARLEY_FARMS_New1	No	No	0.8287795992714025
92	Stonehenge_2005	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9260869565217391
