	SubjectID1	SubjectID2	Group1	Group2	Distance
0	ChurchFarm	Baltic_farm_2	No	No	0.7446666666666667
1	HARLEY_FARMS_New1	Baltic_farm_2	No	No	0.7846
2	HARLEY_FARMS_New1	ChurchFarm	No	No	0.6112333333333333
3	HARLEY_FARMS_new2b	Baltic_farm_2	No	No	0.8455333333333334
4	HARLEY_FARMS_new2b	ChurchFarm	No	No	0.7098666666666666
5	HARLEY_FARMS_new2b	HARLEY_FARMS_New1	No	No	0.5068
6	HomeFarm_WoodlandTrust_Hampshire_good_1c	Baltic_farm_2	No	No	0.9603
7	HomeFarm_WoodlandTrust_Hampshire_good_1c	ChurchFarm	No	No	0.9648
8	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_New1	No	No	0.9583333333333334
9	HomeFarm_WoodlandTrust_Hampshire_good_1c	HARLEY_FARMS_new2b	No	No	0.9047333333333333
10	HorntonHouseFarm_1_parallel	Baltic_farm_2	No	No	0.4433666666666667
11	HorntonHouseFarm_1_parallel	ChurchFarm	No	No	0.6116
12	HorntonHouseFarm_1_parallel	HARLEY_FARMS_New1	No	No	0.6386333333333334
13	HorntonHouseFarm_1_parallel	HARLEY_FARMS_new2b	No	No	0.7194666666666667
14	HorntonHouseFarm_1_parallel	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9599333333333333
15	Jemma_1	Baltic_farm_2	No	No	0.5094
16	Jemma_1	ChurchFarm	No	No	0.7334333333333334
17	Jemma_1	HARLEY_FARMS_New1	No	No	0.7602
18	Jemma_1	HARLEY_FARMS_new2b	No	No	0.8274333333333334
19	Jemma_1	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9501333333333334
20	Jemma_1	HorntonHouseFarm_1_parallel	No	No	0.4756666666666667
21	Jemma_2	Baltic_farm_2	No	No	0.36873333333333336
22	Jemma_2	ChurchFarm	No	No	0.6677666666666666
23	Jemma_2	HARLEY_FARMS_New1	No	No	0.7068
24	Jemma_2	HARLEY_FARMS_new2b	No	No	0.7934666666666667
25	Jemma_2	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9477666666666666
26	Jemma_2	HorntonHouseFarm_1_parallel	No	No	0.34933333333333333
27	Jemma_2	Jemma_1	No	No	0.4388
28	Jemma_6	Baltic_farm_2	No	No	0.5369333333333334
29	Jemma_6	ChurchFarm	No	No	0.6958
30	Jemma_6	HARLEY_FARMS_New1	No	No	0.7402666666666666
31	Jemma_6	HARLEY_FARMS_new2b	No	No	0.8034333333333333
32	Jemma_6	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9561666666666667
33	Jemma_6	HorntonHouseFarm_1_parallel	No	No	0.49593333333333334
34	Jemma_6	Jemma_1	No	No	0.4836666666666667
35	Jemma_6	Jemma_2	No	No	0.43646666666666667
36	Jemma_9	Baltic_farm_2	No	No	0.24646666666666667
37	Jemma_9	ChurchFarm	No	No	0.718
38	Jemma_9	HARLEY_FARMS_New1	No	No	0.7861
39	Jemma_9	HARLEY_FARMS_new2b	No	No	0.8551333333333333
40	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9646
41	Jemma_9	HorntonHouseFarm_1_parallel	No	No	0.46803333333333336
42	Jemma_9	Jemma_1	No	No	0.4842666666666667
43	Jemma_9	Jemma_2	No	No	0.3318
44	Jemma_9	Jemma_6	No	No	0.4987666666666667
45	Lardon_Chase_The_Holies_motorcycle	Baltic_farm_2	No	No	0.477
46	Lardon_Chase_The_Holies_motorcycle	ChurchFarm	No	No	0.716
47	Lardon_Chase_The_Holies_motorcycle	HARLEY_FARMS_New1	No	No	0.7925
48	Lardon_Chase_The_Holies_motorcycle	HARLEY_FARMS_new2b	No	No	0.8556666666666667
49	Lardon_Chase_The_Holies_motorcycle	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9707666666666667
50	Lardon_Chase_The_Holies_motorcycle	HorntonHouseFarm_1_parallel	No	No	0.43456666666666666
51	Lardon_Chase_The_Holies_motorcycle	Jemma_1	No	No	0.4760333333333333
52	Lardon_Chase_The_Holies_motorcycle	Jemma_2	No	No	0.3839
53	Lardon_Chase_The_Holies_motorcycle	Jemma_6	No	No	0.45153333333333334
54	Lardon_Chase_The_Holies_motorcycle	Jemma_9	No	No	0.3848
55	MannorFmAltonBarnes	Baltic_farm_2	No	No	0.7823333333333333
56	MannorFmAltonBarnes	ChurchFarm	No	No	0.5622666666666667
57	MannorFmAltonBarnes	HARLEY_FARMS_New1	No	No	0.6908
58	MannorFmAltonBarnes	HARLEY_FARMS_new2b	No	No	0.7227
59	MannorFmAltonBarnes	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9711333333333333
60	MannorFmAltonBarnes	HorntonHouseFarm_1_parallel	No	No	0.6132
61	MannorFmAltonBarnes	Jemma_1	No	No	0.7323666666666667
62	MannorFmAltonBarnes	Jemma_2	No	No	0.6878
63	MannorFmAltonBarnes	Jemma_6	No	No	0.6684666666666667
64	MannorFmAltonBarnes	Jemma_9	No	No	0.7646666666666667
65	MannorFmAltonBarnes	Lardon_Chase_The_Holies_motorcycle	No	No	0.7345666666666667
66	NorringtonMannorFm_2	Baltic_farm_2	No	No	0.7373666666666666
67	NorringtonMannorFm_2	ChurchFarm	No	No	0.7284
68	NorringtonMannorFm_2	HARLEY_FARMS_New1	No	No	0.7858333333333334
69	NorringtonMannorFm_2	HARLEY_FARMS_new2b	No	No	0.8248
70	NorringtonMannorFm_2	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9680333333333333
71	NorringtonMannorFm_2	HorntonHouseFarm_1_parallel	No	No	0.7241
72	NorringtonMannorFm_2	Jemma_1	No	No	0.6659333333333334
73	NorringtonMannorFm_2	Jemma_2	No	No	0.6840333333333334
74	NorringtonMannorFm_2	Jemma_6	No	No	0.6186666666666667
75	NorringtonMannorFm_2	Jemma_9	No	No	0.6571666666666667
76	NorringtonMannorFm_2	Lardon_Chase_The_Holies_motorcycle	No	No	0.6542
77	NorringtonMannorFm_2	MannorFmAltonBarnes	No	No	0.7307666666666667
78	RSPB_Mainline	Baltic_farm_2	No	No	0.5078666666666667
79	RSPB_Mainline	ChurchFarm	No	No	0.6368
80	RSPB_Mainline	HARLEY_FARMS_New1	No	No	0.6258666666666667
81	RSPB_Mainline	HARLEY_FARMS_new2b	No	No	0.7064
82	RSPB_Mainline	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9617666666666667
83	RSPB_Mainline	HorntonHouseFarm_1_parallel	No	No	0.38203333333333334
84	RSPB_Mainline	Jemma_1	No	No	0.5329666666666667
85	RSPB_Mainline	Jemma_2	No	No	0.38963333333333333
86	RSPB_Mainline	Jemma_6	No	No	0.5157666666666667
87	RSPB_Mainline	Jemma_9	No	No	0.4242
88	RSPB_Mainline	Lardon_Chase_The_Holies_motorcycle	No	No	0.4596
89	RSPB_Mainline	MannorFmAltonBarnes	No	No	0.6304333333333333
90	RSPB_Mainline	NorringtonMannorFm_2	No	No	0.6701666666666667
91	RSPB_churchil	Baltic_farm_2	No	No	0.5267
92	RSPB_churchil	ChurchFarm	No	No	0.6327
93	RSPB_churchil	HARLEY_FARMS_New1	No	No	0.7236
94	RSPB_churchil	HARLEY_FARMS_new2b	No	No	0.8031
95	RSPB_churchil	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9622
96	RSPB_churchil	HorntonHouseFarm_1_parallel	No	No	0.42023333333333335
97	RSPB_churchil	Jemma_1	No	No	0.4664333333333333
98	RSPB_churchil	Jemma_2	No	No	0.43156666666666665
99	RSPB_churchil	Jemma_6	No	No	0.4503333333333333
100	RSPB_churchil	Jemma_9	No	No	0.4493
101	RSPB_churchil	Lardon_Chase_The_Holies_motorcycle	No	No	0.3956
102	RSPB_churchil	MannorFmAltonBarnes	No	No	0.6190666666666667
103	RSPB_churchil	NorringtonMannorFm_2	No	No	0.6171333333333333
104	RSPB_churchil	RSPB_Mainline	No	No	0.4247
105	RSPB_junction	Baltic_farm_2	No	No	0.6905333333333333
106	RSPB_junction	ChurchFarm	No	No	0.6453
107	RSPB_junction	HARLEY_FARMS_New1	No	No	0.6965
108	RSPB_junction	HARLEY_FARMS_new2b	No	No	0.7623333333333333
109	RSPB_junction	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9535333333333333
110	RSPB_junction	HorntonHouseFarm_1_parallel	No	No	0.5837333333333333
111	RSPB_junction	Jemma_1	No	No	0.6318333333333334
112	RSPB_junction	Jemma_2	No	No	0.5484
113	RSPB_junction	Jemma_6	No	No	0.5055
114	RSPB_junction	Jemma_9	No	No	0.5954333333333334
115	RSPB_junction	Lardon_Chase_The_Holies_motorcycle	No	No	0.5573
116	RSPB_junction	MannorFmAltonBarnes	No	No	0.6216
117	RSPB_junction	NorringtonMannorFm_2	No	No	0.5231333333333333
118	RSPB_junction	RSPB_Mainline	No	No	0.5079
119	RSPB_junction	RSPB_churchil	No	No	0.4640666666666667
120	TARGET_MartinDown	Baltic_farm_2	No	No	0.7851666666666667
121	TARGET_MartinDown	ChurchFarm	No	No	0.7636666666666667
122	TARGET_MartinDown	HARLEY_FARMS_New1	No	No	0.8181
123	TARGET_MartinDown	HARLEY_FARMS_new2b	No	No	0.8418
124	TARGET_MartinDown	HomeFarm_WoodlandTrust_Hampshire_good_1c	No	No	0.9008333333333334
125	TARGET_MartinDown	HorntonHouseFarm_1_parallel	No	No	0.7884333333333333
126	TARGET_MartinDown	Jemma_1	No	No	0.7374333333333334
127	TARGET_MartinDown	Jemma_2	No	No	0.7067333333333333
128	TARGET_MartinDown	Jemma_6	No	No	0.7541
