OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_10	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	279.0	78.0	9.0	21.0	80.0	6.0	16.0	2.0	4.0	2.0	0.0	2.0	13.0	138.0	18.0	296.0	245.0	1489.0	763.0	317.0	191.0	457.0	62.0	45.0	4.0	16.0	138.0	395.0	20.0	334.0	113.0	90.0	112.0	337.0	392.0	0.0	135.0	46.0	123.0	51.0	84.0	66.0	26.0	86.0	49.0	44.0	43.0	101.0	32.0	27.0	208.0	112.0	40.0	12.0	24.0	1.0	3.0	20.0	57.0	89.0	73.0	6.0	78.0	91.0	13.0	39.0	Plectosphaerella	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-|Plant Pathogen|-Plant Saprotroph	Microfungus	NULL	Probable	As litter_saprotroph (Põlme et al. 2020); Decay leaf, fruit, seed, animal material (Põlme et al. 2020); Plectosporium was introduced by Palm et al. (1995) for Fusarium tabacinum, the anamorph of Plectosphaerella cucumerina (Carlucci et al. 2012)	b'Palm et al. 1995. Mycologia 87:397-406 ((https://doi.org/10.1080/00275514.1995.12026545)); Carlucci et al. 2012. Persoonia 28:34-48 ((https://doi.org/10.3767/003158512X638251)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Li et al. 2017. Mycobiology 45:110-113 ((https://doi.org/10.5941/MYCO.2017.45.2.110)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_100	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	45.0	0.0	6.0	6.0	22.0	3.0	0.0	2.0	0.0	64.0	9.0	0.0	4.0	0.0	11.0	8.0	0.0	0.0	0.0	18.0	20.0	60.0	0.0	48.0	0.0	5.0	0.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	100.0	124.0	23.0	25.0	2.0	0.0	2.0	0.0	0.0	0.0	59.0	0.0	23.0	3.0	1.0	19.0	150.0	60.0	0.0	48.0	0.0	0.0	19.0	20.0	21.0	0.0	9.0	73.0	39.0	49.0	Entoloma	13	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-|Undefined Saprotroph|-Undefined Symbiotroph	Agaricoid	NULL	Possible	As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020)	b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x; P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); sensu stricto)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) ((as ECM/not ECM))'
OTU_101	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	0.0	2.0	0.0	12.0	30.0	0.0	12.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	19.0	11.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	116.0	2.0	13.0	67.0	14.0	16.0	326.0	Metarhizium	13	Pathotroph-Saprotroph	|Animal Parasite|-Animal Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	As animal_decomposer (Põlme et al. 2020); Decay animal material (Põlme et al. 2020)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_102	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	49.0	133.0	0.0	32.0	0.0	0.0	4.0	3.0	0.0	13.0	0.0	0.0	1.0	4.0	7.0	660.0	78.0	12.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	9.0	23.0	24.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	20.0	3.0	98.0	2.0	37.0	10.0	0.0	73.0	87.0	Talaromyces	13	Pathotroph-Saprotroph	Animal Parasite-|Undefined Saprotroph|	Microfungus	NULL	Probable	Decay leaf, fruit, seed, soil, animal material (Põlme et al. 2020)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_103	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Mariannaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	79.0	35.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	238.0	0.0	0.0	9.0	19.0	0.0	1.0	0.0	397.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	73.0	5.0	14.0	Mariannaea	13	 Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Microfungus	NULL	Probable	As soil_saprotroph (Põlme et al. 2020); Decay wood, leaf, fruit, seed, soil (Põlme et al. 2020)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_105	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta	32.0	61.0	0.0	5.0	5.0	16.0	18.0	27.0	11.0	2.0	58.0	23.0	84.0	10.0	9.0	8.0	15.0	0.0	3.0	57.0	4.0	13.0	15.0	7.0	5.0	10.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	11.0	0.0	13.0	0.0	96.0	12.0	1.0	4.0	0.0	11.0	1.0	10.0	15.0	15.0	5.0	8.0	12.0	0.0	0.0	17.0	1.0	0.0	4.0	0.0	9.0	3.0	3.0	2.0	6.0	9.0	1.0	21.0	Pyrenochaeta	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|	Microfungus	Soft Rot	Highly Probable	Decay wood (Põlme et al. 2020)	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_106	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella	37.0	0.0	0.0	0.0	0.0	0.0	19.0	1.0	1.0	1.0	0.0	14.0	13.0	11.0	0.0	4.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	6.0	2.0	8.0	10.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	Keissleriella	13	Saprotroph	Undefined Saprotroph-|Wood Saprotroph|	Microfungus	NULL	Probable	Decay wood (Põlme et al. 2020)	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_107	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiella	0.0	0.0	7.0	4.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	43.0	57.0	33.0	0.0	0.0	0.0	0.0	3.0	0.0	39.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	29.0	9.0	43.0	0.0	0.0	9.0	0.0	10.0	18.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	58.0	203.0	2.0	0.0	0.0	0.0	Sporormiella	13	Saprotroph	Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Saprotroph|	Microfungus	NULL	Probable	As litter_saprotroph (Põlme et al. 2020); Decay leaf, fruit, seed (Põlme et al. 2020)	b'Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net/)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_108	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Lecythophora	8.0	0.0	0.0	3.0	0.0	12.0	13.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	9.0	23.0	0.0	0.0	122.0	380.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	61.0	0.0	356.0	9.0	0.0	163.0	17.0	19.0	0.0	4.0	26.0	3.0	0.0	23.0	26.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	82.0	0.0	0.0	44.0	33.0	3.0	6.0	12.0	21.0	78.0	0.0	Lecythophora	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-|Undefined Saprotroph|	Microfungus	NULL	Highly Probable	As foliar_endophyte (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots.; Decay leaf, fruit, seed, soil, dung, animal material (Põlme et al. 2020)	b'Taylor DL, et al. 2014. Ecological Monographs 84:3-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
OTU_11	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Keithomyces	0.0	0.0	6.0	15.0	0.0	12.0	27.0	5.0	7.0	11.0	0.0	128.0	13.0	32.0	28.0	349.0	0.0	7.0	139.0	772.0	310.0	123.0	62.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	1181.0	0.0	0.0	718.0	482.0	2.0	229.0	349.0	557.0	9.0	9.0	809.0	364.0	28.0	0.0	15.0	419.0	0.0	0.0	19.0	1913.0	0.0	0.0	440.0	0.0	660.0	360.0	3.0	866.0	235.0	381.0	Clavicipitaceae	9	Pathotroph-Symbiotroph	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	Microfungus	NULL	Possible	Parasitic, endophytic or epiphytic on Insecta, other fungi or Gamineae (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
