OTU ID	Taxonomy	Whitelands_2018_19	Castle_Field_West_(W)	Toposcope_Field_-_1980s	Bradenham_post-1986_b	Lardon_Chase_The_Holies_motorcycle	Stonehenge_2000_2017a	Stonehenge_2003_2017b	Stonehenge_2009	Stonehenge_2007_2016	Stonehenge_2005	Stonehenge_2002_2017	Stonehenge_2010	Stonehenge_2011	Stonehenge_-_Luxenborough_BankB	Watlington_natural_reversion	St_Catherines_A3	HARLEY_FARMS_Chittern	HARLEY_FARMS_New1	HARLEY_FARMS_new2b	WINDMILL_farm	DRUIDS	Stratton_Wood	WESTMEAD_FARM	RSPB_orig_green	RSPB_churchil	RSPB_junction	RSPB_Mainline	Baltic_farm_1	Baltic_farm_2	WestEndFarm	HorntonHouseFarm_1_parallel	TownsendFarm_1	TownsendFarm_2	TownsendFarm_3_big	ChurchFarm	StowellFarms_1_adj	MannorFmAltonBarnes	HommingtonFarm	ThropeManor_1	ThropeManor_2	ThropeManor_3	MannorFmBroadChalke	BigleyFm_1	BigleyFm_2	NorringtonMannorFm_1	NorringtonMannorFm_2	ManorFmBerwickStJohn_1	ManorFmBerwickStJohn_3	Jemma_1	Jemma_2	Jemma_7	Jemma_4	Jemma_5	Jemma_6	Jemma_9	HomeFarm_WoodlandTrust_Hampshire_good_1c	Crux_easton_70b1	Crux_easton_70b2	Martin_Down_arabel_reversion	Parsonage_down_reversion	TARGET_MartinDown	TARGET_St_Catherines	TARGET_ParsonageDown	TARGET_KNEPP_A New_Barn_Field	Knepp_Pond_field	Knepp_Benton_field	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_1	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis	1182.0	3132.0	4215.0	854.0	3843.0	968.0	2674.0	1513.0	1230.0	2878.0	2131.0	1830.0	1844.0	2488.0	3460.0	3022.0	3602.0	1332.0	773.0	1034.0	1196.0	665.0	1780.0	3049.0	3420.0	1626.0	4367.0	917.0	6650.0	6342.0	3678.0	3305.0	4154.0	3390.0	1412.0	702.0	918.0	1259.0	680.0	1365.0	2215.0	1260.0	5442.0	1035.0	5053.0	1290.0	1082.0	1352.0	3158.0	4310.0	3507.0	2997.0	2248.0	2799.0	6243.0	42.0	3855.0	2282.0	2060.0	3815.0	1330.0	1970.0	4595.0	589.0	419.0	287.0	-	-	-	-	-	-	-	Unassigned	-
OTU_6	k__Fungi;__;__;__;__;__	236.0	689.0	160.0	457.0	1094.0	271.0	237.0	347.0	354.0	304.0	229.0	426.0	316.0	593.0	290.0	178.0	490.0	1220.0	202.0	274.0	810.0	1388.0	704.0	1165.0	860.0	561.0	226.0	1199.0	688.0	301.0	745.0	456.0	746.0	463.0	508.0	264.0	446.0	374.0	355.0	497.0	471.0	502.0	592.0	705.0	662.0	894.0	203.0	750.0	1969.0	541.0	685.0	463.0	944.0	493.0	743.0	47.0	614.0	1541.0	224.0	140.0	220.0	249.0	262.0	180.0	45.0	236.0	-	-	-	-	-	-	-	Unassigned	-
OTU_7	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__	260.0	47.0	75.0	513.0	311.0	287.0	346.0	401.0	97.0	108.0	341.0	127.0	340.0	262.0	617.0	212.0	160.0	67.0	19.0	26.0	70.0	119.0	419.0	855.0	473.0	528.0	294.0	539.0	162.0	265.0	58.0	172.0	36.0	127.0	306.0	0.0	233.0	721.0	12.0	158.0	224.0	392.0	42.0	55.0	181.0	733.0	22.0	62.0	122.0	88.0	115.0	76.0	332.0	227.0	398.0	0.0	457.0	398.0	314.0	164.0	146.0	68.0	391.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_18	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis	46.0	818.0	102.0	80.0	225.0	277.0	483.0	751.0	193.0	129.0	512.0	291.0	399.0	63.0	82.0	15.0	105.0	12.0	39.0	115.0	45.0	405.0	312.0	358.0	445.0	618.0	111.0	151.0	75.0	9.0	36.0	98.0	59.0	51.0	9.0	5.0	133.0	640.0	123.0	165.0	120.0	333.0	48.0	104.0	17.0	805.0	397.0	122.0	282.0	116.0	46.0	73.0	472.0	338.0	9.0	1004.0	171.0	475.0	44.0	9.0	6.0	19.0	1.0	4.0	27.0	6.0	-	-	-	-	-	-	-	Unassigned	-
OTU_22	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis	167.0	197.0	35.0	246.0	209.0	186.0	198.0	286.0	1146.0	213.0	119.0	493.0	264.0	341.0	35.0	83.0	134.0	796.0	1325.0	207.0	267.0	464.0	856.0	124.0	89.0	158.0	153.0	44.0	106.0	227.0	118.0	148.0	0.0	286.0	184.0	4.0	118.0	77.0	132.0	197.0	208.0	176.0	102.0	140.0	125.0	244.0	263.0	108.0	964.0	205.0	144.0	207.0	218.0	318.0	125.0	92.0	185.0	169.0	210.0	71.0	145.0	15.0	62.0	191.0	4.0	173.0	-	-	-	-	-	-	-	Unassigned	-
OTU_40	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;__;__	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	46.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	24.0	0.0	0.0	155.0	748.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_42	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis	4.0	66.0	75.0	289.0	34.0	76.0	38.0	55.0	34.0	41.0	78.0	44.0	14.0	48.0	162.0	57.0	46.0	18.0	102.0	313.0	35.0	17.0	12.0	13.0	34.0	38.0	8.0	23.0	4.0	0.0	0.0	173.0	11.0	323.0	18.0	43.0	71.0	0.0	703.0	55.0	87.0	91.0	102.0	308.0	28.0	16.0	127.0	226.0	2.0	83.0	23.0	64.0	35.0	5.0	3.0	36.0	12.0	25.0	95.0	155.0	246.0	131.0	175.0	623.0	64.0	310.0	-	-	-	-	-	-	-	Unassigned	-
OTU_45	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;__;__	45.0	30.0	0.0	15.0	0.0	72.0	27.0	23.0	332.0	53.0	98.0	3.0	116.0	18.0	0.0	0.0	10.0	81.0	97.0	0.0	3.0	0.0	0.0	0.0	141.0	118.0	28.0	2.0	0.0	0.0	0.0	38.0	0.0	21.0	0.0	0.0	35.0	0.0	16.0	0.0	8.0	11.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	50.0	0.0	6.0	7.0	0.0	2.0	0.0	0.0	9.0	19.0	5.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	Unassigned	-
OTU_47	k__Fungi;p__Ascomycota;__;__;__;__	121.0	35.0	19.0	29.0	32.0	42.0	38.0	69.0	36.0	37.0	28.0	62.0	93.0	207.0	33.0	21.0	118.0	126.0	62.0	237.0	99.0	60.0	59.0	0.0	99.0	73.0	180.0	96.0	19.0	72.0	115.0	118.0	103.0	106.0	64.0	19.0	86.0	22.0	57.0	15.0	47.0	94.0	11.0	21.0	85.0	46.0	67.0	17.0	138.0	55.0	107.0	68.0	8.0	54.0	52.0	0.0	21.0	43.0	34.0	40.0	8.0	0.0	45.0	16.0	50.0	35.0	-	-	-	-	-	-	-	Unassigned	-
OTU_48	k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis;o__Basidiomycota_ord_Incertae_sedis;f__Basidiomycota_fam_Incertae_sedis;g__Basidiomycota_gen_Incertae_sedis	288.0	0.0	122.0	2.0	0.0	2.0	3.0	2.0	2.0	0.0	1.0	4.0	12.0	13.0	0.0	3.0	1.0	5.0	3.0	16.0	4.0	9.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	100.0	2.0	5.0	0.0	14.0	0.0	13.0	8.0	0.0	0.0	1.0	21.0	5.0	0.0	2.0	0.0	8.0	1.0	4.0	146.0	44.0	17.0	0.0	0.0	0.0	50.0	0.0	10.0	0.0	0.0	1.0	0.0	3.0	10.0	-	-	-	-	-	-	-	Unassigned	-
