id	site_code	Year_est	Age	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
Baltic_farm_1	28;nan	2005	16	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	3.67075361770711
Baltic_farm_2	29;nan	1998	23	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	1.73356068666625
BigleyFm_1	43;nan	2014	7	seed_mix	Yes	Yes	Yes	Yes	Above_median	Below_median	2.63744001675858
BigleyFm_2	44;nan	2017	4	seed_mix	Yes	Yes	Yes	Yes	Below_median	Below_median	4.15007703033873
Bradenham_post-1986_b	4;nan	1986	35	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	3.80887201268352
Castle_Field_West_(W)	2;nan	2002	19	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	3.28451377530013
ChurchFarm	35;nan	2012	9	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	3.92004446031596
Crux_easton_70b1	57;nan	2000	21	seed_mix	No	No	Yes	Yes	Below_median	Above_median	2.66819416511459
Crux_easton_70b2	58;nan	2002	19	seed_mix	Yes	No	Yes	No	Above_median	Above_median	2.90945659421026
DRUIDS	21;nan	2002	19	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	4.12523659398269
HARLEY_FARMS_Chittern	17;nan	2013	8	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	3.62125809402866
HARLEY_FARMS_New1	18;nan	2020	1	seed_mix	No	Yes	No	No	Below_median	Below_median	3.67106518410556
HARLEY_FARMS_new2b	19;nan	2020	1	seed_mix	Yes	No	No	No	Below_median	Below_median	3.91762459525867
HomeFarm_WoodlandTrust_Hampshire_good_1c	56;nan	1994	27	seed_mix	No	Yes	No	No	Below_median	Above_median	3.48886133562756
HommingtonFarm	38;nan	2014	7	seed_mix	Yes	Yes	Yes	Yes	Above_median	Below_median	2.85495721749588
HorntonHouseFarm_1_parallel	31;nan	2016	5	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	3.07330066610501
Jemma_1	49;nan	2010	11	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Below_median	2.34830704437465
Jemma_2	50;nan	2008	13	Natural_regen	No	Yes	No	No	Above_median	Below_median	2.77856501571614
Jemma_4	52;nan	2015	6	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Below_median	3.41627511128264
Jemma_5	53;nan	2015	6	seed_mix	Yes	No	Yes	No	Above_median	Below_median	3.05132447622747
Jemma_6	54;nan	2013	8	seed_mix	Yes	No	Yes	No	Above_median	Below_median	3.00751629926117
Jemma_7	51;nan	2014	7	Green_hay_bush	No	No	Yes	Yes	Above_median	Below_median	3.1212452280469
Jemma_9	55;nan	2015	6	seed_mix	Yes	No	Yes	No	Above_median	Below_median	1.8893077269754
Knepp_Benton_field	66;nan	2005	16	Natural_regen	No	Yes	No	nan	Below_median	Above_median	3.85827702512048
Knepp_Pond_field	65;nan	2003	18	Natural_regen	No	Yes	No	nan	Below_median	Above_median	2.71727055483927
Lardon_Chase_The_Holies_motorcycle	nan	2007	14	Natural_regen	No	No	Yes	No	Above_median	Below_median	2.73512922715727
MannorFmAltonBarnes	nan	2012	9	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	4.35862004541328
MannorFmBroadChalke	42;nan	2010	11	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	3.78119275814462
ManorFmBerwickStJohn_1	47;nan	2014	7	seed_mix	Yes	Yes	Yes	No	Below_median	Below_median	4.01054824674689
ManorFmBerwickStJohn_3	48;nan	2018	3	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	4.02434918820106
Martin_Down_arabel_reversion	59;nan	1957	64	Natural_regen	No	No	Yes	Yes	Above_median	Above_median	3.76677041722437
NorringtonMannorFm_1	45;nan	2009	12	seed_mix	No	No	Yes	Yes	Below_median	Below_median	2.6055595409359
NorringtonMannorFm_2	46;nan	2009	12	seed_mix	No	No	Yes	No	Above_median	Below_median	3.52796360784035
Parsonage_down_reversion	60;nan	1945	76	Natural_regen	No	Yes	No	Yes	Above_median	Above_median	3.40623780482316
RSPB_Mainline	27;nan	2016	5	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	2.99367613107194
RSPB_churchil	25;nan	2010	11	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	2.88391074391963
RSPB_junction	26;nan	2007	14	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	3.47584475619177
RSPB_orig_green	24;nan	2006	15	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	2.97650617765536
St_Catherines_A3	16;nan	1994	27	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	3.78578749466614
Stonehenge_-_Luxenborough_BankB	14;nan	2000	21	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	3.6748418435672
Stonehenge_2000_2017a	6;nan	2000	21	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	2.96295522654768
Stonehenge_2002_2017	11;nan	2002	19	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	3.4960767527547
Stonehenge_2003_2017b	7;nan	2003	18	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	3.5657766481647
Stonehenge_2005	10;nan	2005	16	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	3.65435299619507
Stonehenge_2007_2016	9;nan	2007	14	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	3.87334858831313
Stonehenge_2009	8;nan	2009	12	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	3.66163450748799
Stonehenge_2010	12;nan	2010	11	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	3.93526049071599
Stonehenge_2011	13;nan	2011	10	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	4.00743752086011
StowellFarms_1_adj	36;nan	2015	6	seed_mix	Yes	Yes	Yes	Yes	Below_median	Below_median	3.4410583083789
Stratton_Wood	22;nan	1995	26	seed_mix	Yes	No	No	Yes	Below_median	Above_median	3.50579376509681
TARGET_KNEPP_A New_Barn_Field	64;nan	2006	15	Natural_regen	No	Yes	No	nan	Below_median	Above_median	4.27893151369739
TARGET_MartinDown	nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	3.76197621506809
TARGET_ParsonageDown	63;nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	2.87635289575233
TARGET_St_Catherines	62;nan	old	>100	Natural_regen	No	No	Yes	No	Above_median	Above_median	3.97027655487016
ThropeManor_1	39;nan	2002	19	seed_mix	Yes	No	Yes	No	Below_median	Above_median	4.27352608400295
ThropeManor_2	40;nan	1998	23	seed_mix	Yes	No	Yes	Yes	Below_median	Above_median	4.08403877409093
ThropeManor_3	41;nan	2000	21	seed_mix	Yes	No	Yes	No	Above_median	Above_median	3.5115397874299
Toposcope_Field_-_1980s	3;nan	1985	36	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	2.98225608336258
TownsendFarm_1	32;nan	2017	4	seed_mix	Yes	No	Yes	No	Above_median	Below_median	3.27816914768245
TownsendFarm_2	33;nan	2010	11	seed_mix	Yes	No	Yes	No	Above_median	Below_median	2.42949737247819
TownsendFarm_3_big	34;nan	2014	7	Green_hay_bush	Yes	No	Yes	No	Below_median	Below_median	3.20442468833736
WESTMEAD_FARM	23;nan	2000	21	seed_mix	Yes	No	Yes	No	Below_median	Above_median	3.35495487294153
WINDMILL_farm	nan	1990	31	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	4.31096320157052
Watlington_natural_reversion	15;nan	2000	21	Natural_regen	No	No	Yes	No	Below_median	Above_median	3.04131660486684
WestEndFarm	30;nan	2019	2	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	2.15106470181666
Whitelands_2018_19	1;nan	2018	3	seed_mix	No	No	Yes	Yes	Above_median	Below_median	4.25273487612866
