sample-id	Establishment
#q2:types	categorical
Baltic_farm_1	Green_hay_bush
Baltic_farm_2	Green_hay_bush
BigleyFm_1	seed_mix
BigleyFm_2	seed_mix
Bradenham_post-1986_b	seed_mix
Castle_Field_West_(W)	seed_mix
ChurchFarm	seed_mix
Crux_easton_70b1	seed_mix
Crux_easton_70b2	seed_mix
DRUIDS	seed_mix
HARLEY_FARMS_Chittern	seed_mix
HARLEY_FARMS_New1	seed_mix
HARLEY_FARMS_new2b	seed_mix
HomeFarm_WoodlandTrust_Hampshire_good_1c	seed_mix
HommingtonFarm	seed_mix
HorntonHouseFarm_1_parallel	seed_mix
Jemma_1	Green_hay_bush
Jemma_2	Natural_regen
Jemma_4	Green_hay_bush
Jemma_5	seed_mix
Jemma_6	seed_mix
Jemma_7	Green_hay_bush
Jemma_9	seed_mix
Knepp_Benton_field	Natural_regen
Knepp_Pond_field	Natural_regen
Lardon_Chase_The_Holies_motorcycle	Natural_regen
MannorFmAltonBarnes	seed_mix
MannorFmBroadChalke	Green_hay_bush
ManorFmBerwickStJohn_1	seed_mix
ManorFmBerwickStJohn_3	seed_mix
Martin_Down_arabel_reversion	Natural_regen
NorringtonMannorFm_1	seed_mix
NorringtonMannorFm_2	seed_mix
Parsonage_down_reversion	Natural_regen
RSPB_Mainline	Green_hay_bush
RSPB_churchil	Green_hay_bush
RSPB_junction	Green_hay_bush
RSPB_orig_green	Green_hay_bush
St_Catherines_A3	Green_hay_bush
Stonehenge_-_Luxenborough_BankB	Green_hay_bush
Stonehenge_2000_2017a	Green_hay_bush
Stonehenge_2002_2017	Green_hay_bush
Stonehenge_2003_2017b	Green_hay_bush
Stonehenge_2005	Green_hay_bush
Stonehenge_2007_2016	Green_hay_bush
Stonehenge_2009	Green_hay_bush
Stonehenge_2010	Green_hay_bush
Stonehenge_2011	Green_hay_bush
StowellFarms_1_adj	seed_mix
Stratton_Wood	seed_mix
TARGET_KNEPP_A New_Barn_Field	Natural_regen
TARGET_MartinDown	Natural_regen
TARGET_ParsonageDown	Natural_regen
TARGET_St_Catherines	Natural_regen
ThropeManor_1	seed_mix
ThropeManor_2	seed_mix
ThropeManor_3	seed_mix
Toposcope_Field_-_1980s	Natural_regen
TownsendFarm_1	seed_mix
TownsendFarm_2	seed_mix
TownsendFarm_3_big	Green_hay_bush
WESTMEAD_FARM	seed_mix
WINDMILL_farm	seed_mix
Watlington_natural_reversion	Natural_regen
WestEndFarm	Green_hay_bush
Whitelands_2018_19	seed_mix
