sample-id	pH_category
#q2:types	categorical
Baltic_farm_1	Above_median
Baltic_farm_2	Above_median
BigleyFm_1	Above_median
BigleyFm_2	Below_median
Bradenham_post-1986_b	Below_median
Castle_Field_West_(W)	Below_median
ChurchFarm	Above_median
Crux_easton_70b1	Below_median
Crux_easton_70b2	Above_median
DRUIDS	Below_median
HARLEY_FARMS_Chittern	Below_median
HARLEY_FARMS_New1	Below_median
HARLEY_FARMS_new2b	Below_median
HomeFarm_WoodlandTrust_Hampshire_good_1c	Below_median
HommingtonFarm	Above_median
HorntonHouseFarm_1_parallel	Above_median
Jemma_1	Above_median
Jemma_2	Above_median
Jemma_4	Below_median
Jemma_5	Above_median
Jemma_6	Above_median
Jemma_7	Above_median
Jemma_9	Above_median
Knepp_Benton_field	Below_median
Knepp_Pond_field	Below_median
Lardon_Chase_The_Holies_motorcycle	Above_median
MannorFmAltonBarnes	Above_median
MannorFmBroadChalke	Above_median
ManorFmBerwickStJohn_1	Below_median
ManorFmBerwickStJohn_3	Above_median
Martin_Down_arabel_reversion	Above_median
NorringtonMannorFm_1	Below_median
NorringtonMannorFm_2	Above_median
Parsonage_down_reversion	Above_median
RSPB_Mainline	Above_median
RSPB_churchil	Above_median
RSPB_junction	Above_median
RSPB_orig_green	Above_median
St_Catherines_A3	Below_median
Stonehenge_-_Luxenborough_BankB	Below_median
Stonehenge_2000_2017a	Below_median
Stonehenge_2002_2017	Below_median
Stonehenge_2003_2017b	Below_median
Stonehenge_2005	Below_median
Stonehenge_2007_2016	Below_median
Stonehenge_2009	Below_median
Stonehenge_2010	Below_median
Stonehenge_2011	Below_median
StowellFarms_1_adj	Below_median
Stratton_Wood	Below_median
TARGET_KNEPP_A New_Barn_Field	Below_median
TARGET_MartinDown	Above_median
TARGET_ParsonageDown	Above_median
TARGET_St_Catherines	Above_median
ThropeManor_1	Below_median
ThropeManor_2	Below_median
ThropeManor_3	Above_median
Toposcope_Field_-_1980s	Above_median
TownsendFarm_1	Above_median
TownsendFarm_2	Above_median
TownsendFarm_3_big	Below_median
WESTMEAD_FARM	Below_median
WINDMILL_farm	Below_median
Watlington_natural_reversion	Below_median
WestEndFarm	Above_median
Whitelands_2018_19	Above_median
