sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GF146	73954	70707	95.61	70490	69986	94.63	69836	94.43
GF147	67776	64535	95.22	64177	63212	93.27	62612	92.38
GF148	62388	61155	98.02	60930	60488	96.95	60184	96.47
GF149	61702	59844	96.99	59380	58695	95.13	58492	94.8
GF150	58594	54193	92.49	53890	53127	90.67	52917	90.31
GF151	63742	62193	97.57	61993	61338	96.23	61255	96.1
GF152	64025	62191	97.14	62146	61413	95.92	61410	95.92
GF153	59054	55261	93.58	54724	53107	89.93	51840	87.78
GF154	58466	55291	94.57	55191	54996	94.06	54996	94.06
GF155	59907	56550	94.4	55996	54762	91.41	54246	90.55
GF156	62318	57748	92.67	57746	56877	91.27	56877	91.27
GF157	61506	58171	94.58	57571	56200	91.37	55509	90.25
GF158	39794	38612	97.03	38402	37853	95.12	37800	94.99
GF159	35185	34100	96.92	33663	32808	93.24	32776	93.15
GF160	35914	35034	97.55	34837	34451	95.93	34430	95.87
GF161	63651	61881	97.22	60871	57777	90.77	57556	90.42
GF162	62090	60115	96.82	59002	57035	91.86	56547	91.07
GF163	64752	62756	96.92	62223	60277	93.09	60115	92.84
GF164	69726	65603	94.09	64766	63389	90.91	62638	89.83
GF165	62051	57062	91.96	56294	54283	87.48	53134	85.63
GF167	63618	60512	95.12	60060	59058	92.83	57097	89.75
GF168	68322	62372	91.29	62257	61600	90.16	61600	90.16
GF169	60459	57021	94.31	56903	56666	93.73	56124	92.83
GF170	65079	63499	97.57	63439	62988	96.79	62810	96.51
GF171	60953	59217	97.15	58696	57837	94.89	57168	93.79
GF172	76571	73886	96.49	73161	71972	93.99	70802	92.47
GF173	63739	62246	97.66	61448	60377	94.73	59843	93.89
GF174	64947	62924	96.89	62224	60606	93.32	57747	88.91
GF175	64198	61664	96.05	60965	59826	93.19	57942	90.26
GF176	64187	61721	96.16	60667	59247	92.3	58800	91.61
GF177	63181	61604	97.5	60855	59733	94.54	59527	94.22
GF178	61957	59421	95.91	58754	57048	92.08	56575	91.31
GF179	59377	55649	93.72	54857	53426	89.98	52838	88.99
GF180	61813	59700	96.58	59054	58164	94.1	54655	88.42
GF181	61365	59843	97.52	59224	58181	94.81	57782	94.16
GF182	41984	41110	97.92	40365	39601	94.32	39333	93.69
GF183	60757	59140	97.34	58308	57078	93.94	56569	93.11
GF184	63062	60452	95.86	59345	57772	91.61	56715	89.94
GF185	63045	61594	97.7	60663	59054	93.67	58301	92.48
GF186	61448	59433	96.72	58945	58024	94.43	57888	94.21
GF187	62756	61655	98.25	61152	60467	96.35	59892	95.44
GF188	72838	70851	97.27	69956	65781	90.31	65205	89.52
GF189	69674	67965	97.55	67039	65934	94.63	64855	93.08
GF190	63016	61794	98.06	61206	49023	77.79	48359	76.74
GF191	50537	49417	97.78	48826	48385	95.74	48175	95.33
GF192	61763	59784	96.8	59035	58242	94.3	57645	93.33
GF193	75552	73673	97.51	72959	71896	95.16	71507	94.65
GF194	73628	71880	97.63	70801	69541	94.45	68823	93.47
GF195	65245	63727	97.67	62867	61790	94.7	61171	93.76
GF196	65092	63295	97.24	63200	62360	95.8	62313	95.73
GF197	73181	71328	97.47	71177	70568	96.43	70523	96.37
