sample ID	forward sequence count	reverse sequence count
GF146	73954	73954
GF147	67776	67776
GF148	62388	62388
GF149	61702	61702
GF150	58594	58594
GF151	63742	63742
GF152	64025	64025
GF153	59054	59054
GF154	58466	58466
GF155	59907	59907
GF156	62318	62318
GF157	61506	61506
GF158	39794	39794
GF159	35185	35185
GF160	35914	35914
GF161	63651	63651
GF162	62090	62090
GF163	64752	64752
GF164	69726	69726
GF165	62051	62051
GF167	63618	63618
GF168	68322	68322
GF169	60459	60459
GF170	65079	65079
GF171	60953	60953
GF172	76571	76571
GF173	63739	63739
GF174	64947	64947
GF175	64198	64198
GF176	64187	64187
GF177	63181	63181
GF178	61957	61957
GF179	59377	59377
GF180	61813	61813
GF181	61365	61365
GF182	41984	41984
GF183	60757	60757
GF184	63062	63062
GF185	63045	63045
GF186	61448	61448
GF187	62756	62756
GF188	72838	72838
GF189	69674	69674
GF190	63016	63016
GF191	50537	50537
GF192	61763	61763
GF193	75552	75552
GF194	73628	73628
GF195	65245	65245
GF196	65092	65092
GF197	73181	73181
GF198	61888	61888
GF199	70763	70763
GF200	63303	63303
GF201	63603	63603
GF202	66844	66844
GF203	77558	77558
GF204	62536	62536
GF205	62370	62370
GF206	62064	62064
GF207	60848	60848
GF208	60553	60553
GF209	65100	65100
GF210	62991	62991
GF211	64270	64270
GF212	61501	61501
GF213	73347	73347
GF214	60786	60786
GF215	62619	62619
GF216	62201	62201
GF217	63146	63146
GF218	64105	64105
GF219	62047	62047
GF220	64935	64935
GF221	60399	60399
GF222	63170	63170
GF223	63509	63509
GF224	70750	70750
GF225	61762	61762
GF226	73391	73391
GF227	61931	61931
GF228	63206	63206
GF229	75088	75088
GF230	63978	63978
GF231	61299	61299
GF232	64578	64578
GF233	63379	63379
GF234	61111	61111
GF235	63696	63696
GF236	76650	76650
GF237	73649	73649
GF238	63108	63108
GF239	61980	61980
GF240	63295	63295
GF242	63354	63354
GF243	72146	72146
GF244	63868	63868
GF245	61784	61784
GF246	63502	63502
GF247	71664	71664
GF248	61839	61839
GF249	60879	60879
GF250	61935	61935
GF251	63026	63026
GF252	61453	61453
GF253	63238	63238
GF254	63753	63753
GF255	63428	63428
GF256	40371	40371
GF257	73184	73184
GF258	62305	62305
GF259	57197	57197
GF260	74397	74397
GF261	65434	65434
GF262	59883	59883
GF263	62388	62388
GF264	61657	61657
GF265	63489	63489
GF266	88007	88007
GF267	60691	60691
GF268	63806	63806
GF269	64796	64796
GF270	63785	63785
GF271	64722	64722
GF272	62730	62730
GF273	64042	64042
GF274	61629	61629
GF275	64888	64888
GF276	64355	64355
GF277	64015	64015
GF278	63357	63357
GF279	64671	64671
GF280	67450	67450
GF281	50340	50340
GF282	70829	70829
GF283	60556	60556
GF284	39511	39511
GF285	60123	60123
GF286	82678	82678
GF287	68674	68674
GF288	74600	74600
GF289	66921	66921
GF291	71246	71246
GF292	58028	58028
GF293	61754	61754
GF294	64982	64982
GF295	94555	94555
GF296	81179	81179
GF297	40914	40914
GF298	69761	69761
GF299	71045	71045
GF300	60468	60468
GF301	59703	59703
GF302	64079	64079
GF303	59510	59510
GF304	64157	64157
GF305	60728	60728
GF306	60526	60526
GF307	62540	62540
GF308	60613	60613
GF309	59203	59203
GF310	73226	73226
GF311	61717	61717
GF312	40492	40492
GF313	64679	64679
GF314	63281	63281
GF315	67357	67357
GF316	51473	51473
