Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Green_hay_bush	Green_hay_bush	Green_hay_bush	Green_hay_bush	Green_hay_bush	Natural_regen	Natural_regen	Natural_regen	Natural_regen	Natural_regen	seed_mix	seed_mix	seed_mix	seed_mix	seed_mix
k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis	918.0	1678.0	2777.0	3333.0	6651.0	288.0	1145.75	2761.0	3937.0	4596.0	43.0	1035.75	1359.5	3176.25	6244.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	32.0	163.5	298.5	517.0	1534.0	11.0	87.0	231.5	367.5	764.0	1.0	217.75	534.0	885.0	2004.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis	6.0	85.5	200.5	492.25	2118.0	1.0	1.75	5.0	34.5	312.0	1.0	64.5	155.5	384.25	1511.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	62.0	131.5	213.5	273.5	642.0	11.0	44.0	64.0	162.0	419.0	2.0	91.0	181.5	333.5	1160.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	77.0	711.0	816.0	1172.0	1816.0	653.0	949.25	1100.0	1410.75	2381.0	144.0	504.75	930.0	1446.0	2887.0
k__Fungi;__;__;__;__;__	179.0	302.75	445.5	663.0	1970.0	46.0	176.0	231.0	270.0	1095.0	48.0	429.0	551.0	746.25	1542.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;__	77.0	128.0	277.0	381.5	856.0	1.0	52.0	118.0	312.75	618.0	1.0	46.75	160.0	313.5	734.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;__	1.0	47.0	114.0	189.25	1058.0	1.0	58.5	84.0	448.0	2250.0	1.0	65.5	115.0	235.5	1465.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	1.0	81.0	209.5	293.25	780.0	8.0	20.25	39.5	153.5	615.0	26.0	79.0	164.5	413.5	923.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	1.0	5.5	27.0	139.0	396.0	7.0	17.75	49.0	79.5	92.0	1.0	37.5	82.0	150.0	1490.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Keithomyces	1.0	1.5	10.0	28.75	420.0	1.0	3.25	132.5	396.75	867.0	1.0	1.0	10.0	353.75	1914.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierellaceae_gen_Incertae_sedis	29.0	123.25	227.0	273.0	643.0	5.0	270.5	386.5	639.75	798.0	1.0	7.25	111.0	162.75	1030.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	32.0	110.25	161.0	200.0	357.0	1.0	6.75	35.5	62.5	183.0	5.0	65.5	103.0	168.5	291.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	1.0	30.5	129.0	174.75	424.0	7.0	31.25	75.5	216.5	783.0	16.0	80.25	163.5	268.5	2570.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	1.0	1.0	1.0	87.5	4715.0	1.0	1.0	1.0	3.0	371.0	1.0	1.0	1.0	1.25	4049.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	15.0	65.25	152.5	194.75	418.0	13.0	21.5	33.0	50.5	286.0	1.0	94.75	118.0	196.75	376.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Dermoloma	1.0	1.0	1.0	7.0	547.0	1.0	1.0	1.0	3.0	5909.0	1.0	1.0	1.0	1.0	134.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis	10.0	74.5	236.0	389.75	752.0	2.0	7.0	24.0	88.0	226.0	6.0	46.75	118.5	353.75	1005.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma	1.0	1.0	1.0	1.0	33.0	1.0	1.0	1.0	97.0	757.0	1.0	1.0	1.0	10.25	1269.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia	1.0	18.0	66.0	123.75	462.0	15.0	56.75	114.0	237.25	1270.0	1.0	1.0	44.5	136.0	653.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis	1.0	36.0	75.0	128.5	248.0	41.0	61.75	99.0	132.75	186.0	13.0	37.75	113.5	167.0	393.0
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis	45.0	130.0	193.0	281.5	1147.0	5.0	36.0	109.0	195.5	211.0	1.0	124.25	177.5	245.5	1326.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria	10.0	74.25	121.0	175.25	543.0	1.0	21.0	59.0	105.75	184.0	1.0	78.75	144.0	185.0	291.0
k__Fungi;p__Zoopagomycota;c__Zoopagomycetes;o__Zoopagales;f__Piptocephalidaceae;g__Syncephalis	32.0	87.25	145.0	229.0	567.0	5.0	53.5	96.5	120.75	257.0	7.0	37.75	63.0	112.5	464.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pyrenochaetopsidaceae;g__Pyrenochaetopsis	1.0	28.25	37.5	58.75	202.0	5.0	34.75	49.0	68.25	138.0	4.0	32.75	68.0	150.25	331.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1558.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cuphophyllus	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	898.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium	1.0	23.25	87.0	144.0	604.0	1.0	19.75	28.5	56.5	249.0	1.0	3.5	17.0	100.0	539.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	941.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum	1.0	1.75	29.5	81.0	452.0	1.0	1.0	1.5	13.25	184.0	1.0	1.0	12.5	31.0	243.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Nectriopsis	1.0	1.0	3.5	52.25	254.0	1.0	1.0	2.0	20.25	109.0	1.0	1.0	1.0	9.25	147.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium	1.0	54.75	73.5	155.5	268.0	1.0	4.75	25.0	52.75	154.0	1.0	30.25	51.5	92.5	377.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis	1.0	1.0	1.0	1.0	90.0	1.0	1.0	3.0	22.0	82.0	1.0	1.0	1.0	12.5	599.0
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Trichosporiella	1.0	1.0	1.0	34.75	96.0	1.0	1.0	1.0	38.0	125.0	1.0	1.0	1.0	51.75	186.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola	1.0	19.25	44.5	172.25	344.0	3.0	39.5	73.0	116.5	289.0	1.0	6.0	19.5	80.0	243.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Niesslia	1.0	47.75	91.5	138.0	297.0	8.0	26.75	40.0	53.25	79.0	1.0	9.5	42.0	79.25	248.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;__	1.0	1.0	1.0	1.0	16.0	1.0	1.0	1.0	1.0	102.0	1.0	1.0	1.0	1.5	161.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;__	1.0	2.25	12.5	38.75	135.0	1.0	1.0	1.0	3.5	11.0	1.0	1.75	8.0	23.75	391.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	1.0	28.5	53.5	85.5	269.0	21.0	76.5	98.5	183.75	436.0	1.0	29.75	63.0	117.0	943.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;__;__	1.0	1.0	1.0	1.0	150.0	1.0	1.0	1.0	1.0	74.0	1.0	1.0	1.0	1.0	749.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Neoschizotheciaceae;g__Apodus	1.0	8.5	15.5	31.25	74.0	1.0	1.0	5.5	11.0	26.0	1.0	5.75	17.0	26.25	179.0
k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis	1.0	17.25	39.0	57.5	324.0	35.0	82.0	144.0	193.75	624.0	1.0	16.0	36.5	103.0	704.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	1.0	27.0	125.5	207.5	516.0	1.0	23.25	65.0	116.0	332.0	1.0	16.0	35.0	67.0	557.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Pleotrichocladium	1.0	15.75	24.0	35.5	80.0	1.0	7.0	19.0	23.0	51.0	1.0	5.0	18.5	27.25	180.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;__;__	1.0	3.25	23.0	68.25	333.0	1.0	1.0	1.0	2.25	20.0	1.0	1.0	1.0	12.25	98.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cistella	1.0	9.0	30.5	45.5	179.0	1.0	1.0	5.0	23.0	91.0	1.0	6.0	18.0	28.25	169.0
k__Fungi;p__Ascomycota;__;__;__;__	1.0	38.25	71.5	99.25	208.0	1.0	19.25	34.5	42.25	56.0	1.0	22.75	56.5	90.25	238.0
k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis;o__Basidiomycota_ord_Incertae_sedis;f__Basidiomycota_fam_Incertae_sedis;g__Basidiomycota_gen_Incertae_sedis	1.0	1.0	3.0	5.0	147.0	1.0	1.0	1.5	5.75	123.0	1.0	1.0	4.5	14.25	289.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;__	1.0	1.0	1.0	1.0	251.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	245.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	1.0	17.0	43.0	60.0	138.0	1.0	53.75	139.5	178.75	256.0	1.0	9.5	36.0	86.25	823.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria	2.0	7.0	15.5	23.5	118.0	4.0	33.5	56.0	113.5	220.0	1.0	8.75	22.5	43.25	147.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Verruciconidia	1.0	8.5	33.0	52.75	243.0	1.0	15.5	38.0	50.5	64.0	1.0	8.75	22.0	48.25	256.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavaria	1.0	6.25	61.0	165.5	582.0	2.0	21.5	48.5	96.5	148.0	1.0	2.5	33.5	82.5	566.0
k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis	6.0	48.25	69.5	111.75	209.0	9.0	20.5	42.5	73.0	185.0	2.0	20.0	34.0	72.25	362.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Nigrosabulum	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	109.0	1.0	1.0	1.0	4.5	117.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Hodophilus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.25	609.0	1.0	1.0	1.0	1.0	459.0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Tyroliella	1.0	1.0	11.5	35.25	177.0	1.0	1.0	30.0	71.0	269.0	1.0	1.0	1.0	5.0	73.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Gliomastix	1.0	3.25	13.5	32.75	73.0	1.0	47.5	58.5	75.25	111.0	1.0	7.0	17.5	28.25	243.0
k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__GS11_fam_Incertae_sedis;g__GS11_gen_Incertae_sedis	1.0	1.25	8.5	25.75	112.0	1.0	11.5	18.5	21.0	30.0	1.0	1.0	12.0	58.25	313.0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	1.0	1.0	1.0	1.0	147.0	1.0	10.25	24.5	57.5	516.0	1.0	1.0	1.0	8.75	524.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Subulicystidium	1.0	1.0	1.0	6.0	170.0	1.0	1.0	1.0	1.25	10.0	1.0	1.0	1.0	1.0	42.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Staphylotrichum	1.0	1.0	1.0	1.0	263.0	1.0	1.0	1.0	1.0	83.0	1.0	1.0	1.0	1.0	136.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Bulleribasidiaceae_gen_Incertae_sedis	1.0	1.0	4.0	27.5	54.0	1.0	1.0	1.0	1.0	61.0	1.0	1.0	4.5	45.25	165.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium	1.0	1.5	7.0	12.75	57.0	1.0	1.0	12.5	107.25	695.0	1.0	1.75	12.0	21.5	325.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis	1.0	24.0	39.5	53.75	113.0	1.0	1.0	9.5	18.5	54.0	1.0	12.75	34.0	51.25	135.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria	1.0	5.5	13.5	30.5	134.0	1.0	2.5	11.0	47.75	388.0	1.0	1.0	7.0	20.5	59.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Tolypocladium	1.0	1.0	1.0	1.0	35.0	1.0	1.0	1.0	2.25	201.0	1.0	1.0	1.0	10.5	262.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Protocreopsis	1.0	1.0	3.0	8.75	35.0	1.0	1.0	1.0	11.75	35.0	1.0	1.0	6.0	20.25	341.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Marquandomyces	1.0	1.0	3.5	15.5	102.0	1.0	1.0	3.0	17.5	57.0	1.0	1.0	1.0	15.25	191.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Monascus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	423.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;__;__;__	1.0	1.0	1.0	6.0	219.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	2.25	164.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	1.0	1.0	1.0	5.75	20.0	1.0	1.0	1.0	3.5	9.0	1.0	1.0	1.0	1.25	387.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces	1.0	1.0	1.0	6.75	26.0	1.0	1.0	5.0	13.5	209.0	1.0	1.0	1.0	15.75	54.0
k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia	1.0	1.0	1.0	1.0	113.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	21.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium	1.0	3.25	5.0	9.0	23.0	1.0	2.75	10.0	15.0	18.0	1.0	3.0	7.0	19.75	74.0
Unassigned;__;__;__;__;__	1.0	14.0	40.5	85.25	168.0	27.0	69.75	122.5	266.5	657.0	2.0	16.5	32.0	48.75	426.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	746.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entolomataceae_gen_Incertae_sedis	1.0	1.0	5.0	13.25	100.0	1.0	1.0	2.0	5.25	9.0	1.0	1.0	1.0	20.5	72.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia	1.0	9.0	13.5	34.0	78.0	1.0	5.25	11.5	54.5	130.0	1.0	5.75	17.5	41.75	80.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Cadophora	1.0	9.25	31.5	54.25	645.0	2.0	9.0	91.5	146.75	357.0	1.0	3.75	36.5	108.75	555.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Sarcopodium	1.0	13.25	19.0	35.25	57.0	1.0	1.0	3.5	16.0	26.0	1.0	1.0	7.5	30.0	85.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Stephanosporaceae;g__Lindtneria	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	5.0	27.0	1.0	1.0	1.0	1.0	85.0
