Group 1,Group 2,H,p-value,q-value
1 (n=10),10 (n=5),2.940000000000005,0.08641073297369951,0.5268267268396519
1 (n=10),11 (n=24),1.201428571428579,0.27303633975118347,0.766276339411913
1 (n=10),12 (n=14),1.1108571428571565,0.2918957005942088,0.766276339411913
1 (n=10),13 (n=5),0.060000000000002274,0.8064959405073364,0.9418796174719958
1 (n=10),14 (n=14),0.21942857142856553,0.6394756635849275,0.9156308308122292
1 (n=10),15 (n=10),0.05142857142857338,0.8205958397554376,0.9418796174719958
1 (n=10),16 (n=15),0.6923076923076934,0.4053805564589422,0.8566850414399477
1 (n=10),18 (n=10),0.3657142857142901,0.5453496680111212,0.891666282862069
1 (n=10),19 (n=24),7.201428571428579,0.007284557009479649,0.2866854849342482
1 (n=10),2 (n=5),2.5350000000000037,0.11134688653313994,0.5985940940661665
1 (n=10),21 (n=30),0.14048780487806312,0.7077965490666557,0.9233856155001884
1 (n=10),23 (n=8),0.3868421052631561,0.533964013468506,0.891666282862069
1 (n=10),26 (n=5),0.060000000000002274,0.8064959405073364,0.9418796174719958
1 (n=10),27 (n=10),0.6914285714285668,0.40567889528505463,0.8566850414399477
1 (n=10),3 (n=10),1.1199999999999903,0.2899184539425689,0.766276339411913
1 (n=10),31 (n=4),8.0,0.004677734981047276,0.2866854849342482
1 (n=10),35 (n=5),3.375,0.06619257972219346,0.4467999131248059
1 (n=10),36 (n=5),0.015000000000000568,0.9025232501776776,0.9626556959544759
1 (n=10),4 (n=10),0.4628571428571391,0.49629170223109464,0.8890912959400652
1 (n=10),5 (n=10),0.1428571428571388,0.7054569861112774,0.9233856155001884
1 (n=10),6 (n=20),0.030967741935484128,0.8603123747310317,0.9532786754133841
1 (n=10),64 (n=5),0.5399999999999991,0.4624327264504765,0.8662509033246683
1 (n=10),7 (n=25),1.2813333333333503,0.2576512716644303,0.766276339411913
1 (n=10),76 (n=5),0.13500000000000512,0.7133031738784523,0.9233856155001884
1 (n=10),8 (n=10),0.9657142857142915,0.32575135447871234,0.7873739664551463
1 (n=10),9 (n=7),1.1523809523809518,0.28305128705188176,0.766276339411913
1 (n=10),>100 (n=14),0.5794285714285792,0.44653638988133904,0.8662509033246683
10 (n=5),11 (n=24),2.2533333333333303,0.13332693177434982,0.6053335462272442
10 (n=5),12 (n=14),1.6800000000000068,0.19492445251365287,0.7017280290491503
10 (n=5),13 (n=5),2.4545454545454533,0.11718508719813842,0.5985940940661665
10 (n=5),14 (n=14),1.9285714285714306,0.16491482255329715,0.6525939938759614
10 (n=5),15 (n=10),1.2150000000000034,0.27034414065477624,0.766276339411913
10 (n=5),16 (n=15),0.5504761904761821,0.45812318823541875,0.8662509033246683
10 (n=5),18 (n=10),4.334999999999994,0.03733641592066285,0.3921270745286549
10 (n=5),19 (n=24),0.0033333333333303017,0.9539596927720595,0.9745858482914553
10 (n=5),2 (n=5),5.770909090909086,0.01629360362102858,0.2866854849342482
10 (n=5),21 (n=30),3.042222222222236,0.08112479188354799,0.5027077267537892
10 (n=5),23 (n=8),2.142857142857146,0.14323490752466533,0.6053335462272442
10 (n=5),26 (n=5),1.8436363636363566,0.17452534056858016,0.659705787349233
10 (n=5),27 (n=10),5.415000000000013,0.019964453305215894,0.3131058218073924
10 (n=5),3 (n=10),0.5399999999999991,0.4624327264504765,0.8662509033246683
10 (n=5),31 (n=4),0.240000000000002,0.6242061147664044,0.9156308308122292
10 (n=5),35 (n=5),0.8836363636363629,0.34720763934942456,0.8151831532551707
10 (n=5),36 (n=5),1.3200000000000003,0.2505920506856808,0.7577903612734987
10 (n=5),4 (n=10),2.1599999999999966,0.14164469029513294,0.6053335462272442
10 (n=5),5 (n=10),2.1599999999999966,0.14164469029513294,0.6053335462272442
10 (n=5),6 (n=20),2.035384615384629,0.15367530699707055,0.6383435829109084
10 (n=5),64 (n=5),1.3200000000000003,0.2505920506856808,0.7577903612734987
10 (n=5),7 (n=25),5.8598709677419265,0.01548992952484867,0.2866854849342482
10 (n=5),76 (n=5),0.5345454545454515,0.4647020999404661,0.8662509033246683
10 (n=5),8 (n=10),2.1599999999999966,0.14164469029513294,0.6053335462272442
10 (n=5),9 (n=7),1.4835164835164818,0.2232251453067525,0.7286138911475037
10 (n=5),>100 (n=14),2.777142857142856,0.09561860878058086,0.5560589864470703
11 (n=24),12 (n=14),0.0448717948717956,0.8322399466178396,0.944704804268899
11 (n=24),13 (n=5),0.5633333333333326,0.4529203011037244,0.8662509033246683
11 (n=24),14 (n=14),0.1794871794871824,0.671814321234944,0.9233856155001884
11 (n=24),15 (n=10),0.4628571428571462,0.4962917022310912,0.8890912959400652
11 (n=24),16 (n=15),0.21333333333333826,0.6441672226837063,0.9156308308122292
11 (n=24),18 (n=10),1.5557142857142878,0.2122938361923277,0.7286138911475037
11 (n=24),19 (n=24),4.510629251700692,0.033684846236239956,0.3921270745286549
11 (n=24),2 (n=5),3.853333333333339,0.049647229657455896,0.3921270745286549
11 (n=24),21 (n=30),0.35030303030302434,0.5539416420840062,0.891666282862069
11 (n=24),23 (n=8),1.4848484848484986,0.22301746994660926,0.7286138911475037
11 (n=24),26 (n=5),0.5633333333333326,0.4529203011037244,0.8662509033246683
11 (n=24),27 (n=10),1.651428571428582,0.19876460637323007,0.7021777683091679
11 (n=24),3 (n=10),0.02285714285714846,0.8798291600118151,0.9612006430186881
11 (n=24),31 (n=4),5.900862068965509,0.015133475982938759,0.2866854849342482
11 (n=24),35 (n=5),1.0799999999999983,0.29869755599496756,0.7733402477129983
11 (n=24),36 (n=5),0.11999999999999034,0.7290344895388143,0.9373300579784756
11 (n=24),4 (n=10),0.3657142857142901,0.5453496680111212,0.891666282862069
11 (n=24),5 (n=10),0.28000000000000114,0.5967012167293555,0.9156308308122292
11 (n=24),6 (n=20),0.802222222222241,0.3704297910485552,0.8414490268624021
11 (n=24),64 (n=5),0.05333333333332746,0.8173613313851867,0.9418796174719958
11 (n=24),7 (n=25),4.161599999999993,0.04135032573214025,0.3921270745286549
11 (n=24),76 (n=5),0.030000000000001137,0.862490230135919,0.9532786754133841
11 (n=24),8 (n=10),0.09142857142857963,0.7623688184698295,0.941572241907215
11 (n=24),9 (n=7),0.0558035714285694,0.8132559119864308,0.9418796174719958
11 (n=24),>100 (n=14),0.09157509157508059,0.7621842220884636,0.941572241907215
12 (n=14),13 (n=5),0.6942857142857122,0.4047104646272164,0.8566850414399477
12 (n=14),14 (n=14),0.47501759324418913,0.4906878522691267,0.8890912959400652
12 (n=14),15 (n=10),0.34285714285714164,0.558184649422658,0.891666282862069
12 (n=14),16 (n=15),0.06857142857143117,0.79342824711973,0.9418796174719958
12 (n=14),18 (n=10),1.1108571428571565,0.2918957005942088,0.766276339411913
12 (n=14),19 (n=24),2.4761904761904674,0.11558189995138404,0.5985940940661665
12 (n=14),2 (n=5),4.1485714285714295,0.041669665306969965,0.3921270745286549
12 (n=14),21 (n=30),0.39682539682539186,0.5287333251214327,0.891666282862069
12 (n=14),23 (n=8),1.1925465838509268,0.27481648137917486,0.766276339411913
12 (n=14),26 (n=5),1.037142857142861,0.308486899993605,0.7773869879838847
12 (n=14),27 (n=10),1.6594285714285775,0.19768049465452464,0.7021777683091679
12 (n=14),3 (n=10),0.0034285714285715585,0.9533073469737817,0.9745858482914553
12 (n=14),31 (n=4),4.071428571428562,0.043614373831613956,0.3921270745286549
12 (n=14),35 (n=5),0.5485714285714351,0.4589019958077424,0.8662509033246683
12 (n=14),36 (n=5),0.13714285714286234,0.7111380838024124,0.9233856155001884
12 (n=14),4 (n=10),0.41485714285714437,0.5195144496475275,0.891666282862069
12 (n=14),5 (n=10),0.21942857142856553,0.6394756635849275,0.9156308308122292
12 (n=14),6 (n=20),1.1767346938775631,0.2780217508587136,0.766276339411913
12 (n=14),64 (n=5),0.2142857142857153,0.6434288435636197,0.9156308308122292
12 (n=14),7 (n=25),3.294857142857154,0.06949715310743429,0.4608758574493011
12 (n=14),76 (n=5),0.30857142857143316,0.5785581396493353,0.907448036462443
12 (n=14),8 (n=10),0.054857142857144936,0.8148172806495309,0.9418796174719958
12 (n=14),9 (n=7),0.05009276437849053,0.8229019354214087,0.9418796174719958
12 (n=14),>100 (n=14),0.1710063335679024,0.679218991525478,0.9233856155001884
13 (n=5),14 (n=14),0.30857142857143316,0.5785581396493353,0.907448036462443
13 (n=5),15 (n=10),0.015000000000000568,0.9025232501776776,0.9626556959544759
13 (n=5),16 (n=15),0.23047619047618895,0.631170965037275,0.9156308308122292
13 (n=5),18 (n=10),0.5399999999999991,0.4624327264504765,0.8662509033246683
13 (n=5),19 (n=24),4.083333333333343,0.04330814281079161,0.3921270745286549
13 (n=5),2 (n=5),3.9381818181818176,0.04720176769014221,0.3921270745286549
13 (n=5),21 (n=30),0.002222222222229675,0.9624012870614469,0.9805598019116628
13 (n=5),23 (n=8),0.19285714285714306,0.6605492052016728,0.9213564559639569
13 (n=5),26 (n=5),0.010909090909095198,0.9168149485280722,0.9626556959544759
13 (n=5),27 (n=10),0.7350000000000065,0.39126727928263727,0.8451373232504965
13 (n=5),3 (n=10),0.7350000000000065,0.39126727928263727,0.8451373232504965
13 (n=5),31 (n=4),6.0,0.014305878435429641,0.2866854849342482
13 (n=5),35 (n=5),3.152727272727269,0.07580017458236198,0.4775410998688805
13 (n=5),36 (n=5),0.2727272727272734,0.6015081344405895,0.9156308308122292
13 (n=5),4 (n=10),0.375,0.5402913746074198,0.891666282862069
13 (n=5),5 (n=10),0.015000000000000568,0.9025232501776776,0.9626556959544759
13 (n=5),6 (n=20),1.4210854715202004e-14,0.9999999048847483,1.0
13 (n=5),64 (n=5),0.5345454545454515,0.4647020999404661,0.8662509033246683
13 (n=5),7 (n=25),1.0598709677419293,0.30324461605912256,0.7750448243862624
13 (n=5),76 (n=5),0.09818181818181415,0.7540225300620795,0.941572241907215
13 (n=5),8 (n=10),0.375,0.5402913746074198,0.891666282862069
13 (n=5),9 (n=7),0.1648351648351678,0.6847433561373848,0.9233856155001884
13 (n=5),>100 (n=14),0.30857142857143316,0.5785581396493353,0.907448036462443
14 (n=14),15 (n=10),0.277714285714282,0.5982032832545143,0.9156308308122292
14 (n=14),16 (n=15),0.15428571428572013,0.6944729643202964,0.9233856155001884
14 (n=14),18 (n=10),1.1108571428571565,0.2918957005942088,0.766276339411913
14 (n=14),19 (n=24),3.869047619047606,0.049184423466709135,0.3921270745286549
14 (n=14),2 (n=5),3.780000000000001,0.05186866065193848,0.3921270745286549
14 (n=14),21 (n=30),0.06349206349207748,0.801059370869688,0.9418796174719958
14 (n=14),23 (n=8),0.9130434782608603,0.33930818193358814,0.801615579818102
14 (n=14),26 (n=5),0.13714285714286234,0.7111380838024124,0.9233856155001884
14 (n=14),27 (n=10),1.3714285714285666,0.24156658696897032,0.7484604088054982
14 (n=14),3 (n=10),0.34285714285714164,0.558184649422658,0.891666282862069
14 (n=14),31 (n=4),5.96616541353383,0.01458295888099729,0.2866854849342482
14 (n=14),35 (n=5),1.4485714285714337,0.22875731725157086,0.7292956310922961
14 (n=14),36 (n=5),0.2142857142857153,0.6434288435636197,0.9156308308122292
14 (n=14),4 (n=10),0.0,1.0,1.0
14 (n=14),5 (n=10),0.0034285714285715585,0.9533073469737817,0.9745858482914553
14 (n=14),6 (n=20),0.2069387755102099,0.6491774144383,0.9156308308122292
14 (n=14),64 (n=5),0.07714285714286007,0.7812073234218156,0.9418796174719958
14 (n=14),7 (n=25),2.784857142857149,0.09515917874789867,0.5560589864470703
14 (n=14),76 (n=5),0.0,1.0,1.0
14 (n=14),8 (n=10),0.34285714285714164,0.558184649422658,0.891666282862069
14 (n=14),9 (n=7),0.20037105751391948,0.6544215056598472,0.9161901079237861
14 (n=14),>100 (n=14),0.03377902885291917,0.8541776362918385,0.9532786754133841
15 (n=10),16 (n=15),0.5200000000000102,0.47084168199062715,0.8724419401591033
15 (n=10),18 (n=10),0.1428571428571388,0.7054569861112774,0.9233856155001884
15 (n=10),19 (n=24),2.892857142857153,0.0889730117018125,0.533838070210875
15 (n=10),2 (n=5),1.5,0.22067136191984324,0.7286138911475037
15 (n=10),21 (n=30),0.035121951219508674,0.8513403474531099,0.9532786754133841
15 (n=10),23 (n=8),0.07105263157895081,0.7898102708604768,0.9418796174719958
15 (n=10),26 (n=5),0.015000000000000568,0.9025232501776776,0.9626556959544759
15 (n=10),27 (n=10),0.02285714285714846,0.8798291600118151,0.9612006430186881
15 (n=10),3 (n=10),0.4628571428571391,0.49629170223109464,0.8890912959400652
15 (n=10),31 (n=4),2.0,0.15729920705028105,0.6393451641398521
15 (n=10),35 (n=5),1.2150000000000034,0.27034414065477624,0.766276339411913
15 (n=10),36 (n=5),0.0,1.0,1.0
15 (n=10),4 (n=10),0.09142857142856542,0.7623688184698474,0.941572241907215
