Group 1,Group 2,H,p-value,q-value
Q1 (n=62),Q10 (n=65),0.07825682382133436,0.7796737561337964,0.9468061051797694
Q1 (n=62),Q13 (n=64),0.5357823215646249,0.46418594460794393,0.9468061051797694
Q1 (n=62),Q4 (n=64),0.42757810515621486,0.5131797342631736,0.9468061051797694
Q1 (n=62),Q7 (n=64),0.2575565151130377,0.611803853169977,0.9468061051797694
Q10 (n=65),Q13 (n=64),0.1315606508875362,0.7168193591033152,0.9468061051797694
Q10 (n=65),Q4 (n=64),0.0966568047337546,0.75587909621716,0.9468061051797694
Q10 (n=65),Q7 (n=64),0.016176035502951436,0.8987939421390518,0.9468061051797694
Q13 (n=64),Q4 (n=64),0.004451308139550747,0.9468061051797694,0.9468061051797694
Q13 (n=64),Q7 (n=64),0.1346520712208985,0.7136565494581502,0.9468061051797694
Q4 (n=64),Q7 (n=64),0.09892805232556157,0.7531198249685345,0.9468061051797694
