Group 1,Group 2,H,p-value,q-value
1 (n=10),10 (n=5),5.415000000000013,0.019964453305215894,0.12371415326838825
1 (n=10),11 (n=24),0.035714285714306016,0.8501067391384838,0.9181152782695625
1 (n=10),12 (n=14),1.8137142857142834,0.17806330795936398,0.35802090642893397
1 (n=10),13 (n=5),0.240000000000002,0.6242061147664044,0.7702645521700199
1 (n=10),14 (n=14),0.013714285714286234,0.906774463340588,0.9416504042383029
1 (n=10),15 (n=10),0.6914285714285668,0.40567889528505463,0.6009246339055078
1 (n=10),16 (n=15),0.5200000000000102,0.47084168199062715,0.6590745447546627
1 (n=10),18 (n=10),0.28000000000000114,0.5967012167293555,0.7620035808232987
1 (n=10),19 (n=24),4.972857142857151,0.025748080821107897,0.1303644674488866
1 (n=10),2 (n=5),6.615000000000002,0.010112333921333455,0.10815244097184809
1 (n=10),21 (n=30),0.09756097560978105,0.7547764265870741,0.8491234799104584
1 (n=10),23 (n=8),0.7894736842105203,0.37425931928022627,0.5797951749505145
1 (n=10),26 (n=5),0.7350000000000065,0.39126727928263727,0.5915961262753475
1 (n=10),27 (n=10),0.09142857142856542,0.7623688184698474,0.8500749657274405
1 (n=10),3 (n=10),1.2857142857142776,0.25683925795785484,0.45132331176157897
1 (n=10),31 (n=4),8.0,0.004677734981047276,0.10157871187487869
1 (n=10),35 (n=5),7.259999999999991,0.007050729110422766,0.10157871187487869
1 (n=10),36 (n=5),0.960000000000008,0.3271868777903008,0.5377245208901466
1 (n=10),4 (n=10),1.2857142857142776,0.25683925795785484,0.45132331176157897
1 (n=10),5 (n=10),1.462857142857132,0.22647606604348455,0.4217140540120057
1 (n=10),6 (n=20),1.2096774193548328,0.2713960175730581,0.4600345051238383
1 (n=10),64 (n=5),2.1599999999999966,0.14164469029513294,0.32449510867612275
1 (n=10),7 (n=25),2.9453333333333234,0.08612592865412258,0.25125582356968174
1 (n=10),76 (n=5),1.8150000000000048,0.17790959498697806,0.35802090642893397
