Group 1,Group 2,H,p-value,q-value
1945 (n=5),1957 (n=5),0.010909090909095198,0.9168149485280722,0.944294415650167
1945 (n=5),1985 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1945 (n=5),1986 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1945 (n=5),1990 (n=4),3.8400000000000034,0.050043521248705126,0.17515232437046796
1945 (n=5),1994 (n=10),0.5399999999999991,0.4624327264504765,0.6522372037249259
1945 (n=5),1995 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1945 (n=5),1998 (n=8),2.5928571428571487,0.10734653699381075,0.28375518170391933
1945 (n=5),2000 (n=30),0.6422222222222445,0.42290724209538744,0.6148420673540633
1945 (n=5),2002 (n=24),0.3333333333333428,0.5637028616507676,0.7334552508835624
1945 (n=5),2003 (n=10),0.5399999999999991,0.4624327264504765,0.6522372037249259
1945 (n=5),2005 (n=15),0.32190476190475437,0.5704651951316597,0.7334552508835624
1945 (n=5),2006 (n=10),1.2150000000000034,0.27034414065477624,0.4600345051238383
1945 (n=5),2007 (n=14),1.2342857142857113,0.2665751848379269,0.4600345051238383
1945 (n=5),2008 (n=5),1.3200000000000003,0.2505920506856808,0.44892793914306794
1945 (n=5),2009 (n=14),0.13714285714286234,0.7111380838024124,0.8195398167965197
1945 (n=5),2010 (n=24),0.480000000000004,0.48842231662259183,0.6665113201564611
1945 (n=5),2011 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1945 (n=5),2012 (n=7),0.3230769230769255,0.5697643679606191,0.7334552508835624
1945 (n=5),2013 (n=10),0.13500000000000512,0.7133031738784523,0.8195398167965197
1945 (n=5),2014 (n=25),3.6859354838709635,0.05487318147694152,0.18686542881336843
1945 (n=5),2015 (n=20),2.035384615384629,0.15367530699707055,0.34024969875419103
1945 (n=5),2016 (n=10),1.8150000000000048,0.17790959498697806,0.35802090642893397
1945 (n=5),2017 (n=10),0.060000000000002274,0.8064959405073364,0.8796845480614919
1945 (n=5),2018 (n=10),0.13500000000000512,0.7133031738784523,0.8195398167965197
1945 (n=5),2019 (n=5),4.810909090909092,0.02828012256827699,0.1303644674488866
1945 (n=5),2020 (n=10),1.8150000000000048,0.17790959498697806,0.35802090642893397
1945 (n=5),old (n=14),0.008571428571436002,0.9262356363135921,0.9502900746357401
1957 (n=5),1985 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1957 (n=5),1986 (n=5),1.3200000000000003,0.2505920506856808,0.44892793914306794
1957 (n=5),1990 (n=4),2.9399999999999977,0.08641073297370006,0.25125582356968174
1957 (n=5),1994 (n=10),0.7350000000000065,0.39126727928263727,0.5915961262753475
1957 (n=5),1995 (n=5),2.4545454545454533,0.11718508719813842,0.2933507480854061
1957 (n=5),1998 (n=8),4.200000000000003,0.04042397933690854,0.1607474873454532
1957 (n=5),2000 (n=30),1.0755555555555816,0.2996939404663731,0.5034858199835068
1957 (n=5),2002 (n=24),0.0033333333333303017,0.9539596927720595,0.9693461394296734
1957 (n=5),2003 (n=10),0.375,0.5402913746074198,0.7216612706770483
1957 (n=5),2005 (n=15),0.6876190476190445,0.40697541343865073,0.6009246339055078
1957 (n=5),2006 (n=10),1.8150000000000048,0.17790959498697806,0.35802090642893397
1957 (n=5),2007 (n=14),1.6800000000000068,0.19492445251365287,0.3817691349749263
1957 (n=5),2008 (n=5),1.8436363636363566,0.17452534056858016,0.35802090642893397
1957 (n=5),2009 (n=14),0.13714285714286234,0.7111380838024124,0.8195398167965197
1957 (n=5),2010 (n=24),1.7633333333333354,0.1842092881866489,0.36647953123449095
1957 (n=5),2011 (n=5),1.3200000000000003,0.2505920506856808,0.44892793914306794
1957 (n=5),2012 (n=7),0.3230769230769255,0.5697643679606191,0.7334552508835624
1957 (n=5),2013 (n=10),0.240000000000002,0.6242061147664044,0.7702645521700199
1957 (n=5),2014 (n=25),4.5901935483870915,0.032155382950072975,0.1446992232753284
1957 (n=5),2015 (n=20),3.364615384615391,0.06661113650746167,0.20470739512049196
1957 (n=5),2016 (n=10),2.1599999999999966,0.14164469029513294,0.32449510867612275
1957 (n=5),2017 (n=10),0.7350000000000065,0.39126727928263727,0.5915961262753475
1957 (n=5),2018 (n=10),0.7350000000000065,0.39126727928263727,0.5915961262753475
1957 (n=5),2019 (n=5),3.9381818181818176,0.04720176769014221,0.17515232437046796
1957 (n=5),2020 (n=10),2.1599999999999966,0.14164469029513294,0.32449510867612275
1957 (n=5),old (n=14),0.0,1.0,1.0
1985 (n=5),1986 (n=5),5.770909090909086,0.01629360362102858,0.11198149397725098
1985 (n=5),1990 (n=4),6.0,0.014305878435429641,0.10815244097184809
1985 (n=5),1994 (n=10),0.375,0.5402913746074198,0.7216612706770483
1985 (n=5),1995 (n=5),0.2727272727272734,0.6015081344405895,0.7653000333098204
1985 (n=5),1998 (n=8),0.19285714285714306,0.6605492052016728,0.7917707147413626
1985 (n=5),2000 (n=30),1.2800000000000296,0.2578990352923308,0.45132331176157897
1985 (n=5),2002 (n=24),5.069999999999993,0.024343383653741196,0.1303644674488866
1985 (n=5),2003 (n=10),0.060000000000002274,0.8064959405073364,0.8796845480614919
1985 (n=5),2005 (n=15),2.0742857142857076,0.14980005429362694,0.33705012216066066
1985 (n=5),2006 (n=10),0.015000000000000568,0.9025232501776776,0.9398175993585733
1985 (n=5),2007 (n=14),1.6800000000000068,0.19492445251365287,0.3817691349749263
1985 (n=5),2008 (n=5),1.3200000000000003,0.2505920506856808,0.44892793914306794
1985 (n=5),2009 (n=14),1.9285714285714306,0.16491482255329715,0.35802090642893397
1985 (n=5),2010 (n=24),1.3333333333333428,0.24821307898991857,0.44892793914306794
1985 (n=5),2011 (n=5),5.770909090909086,0.01629360362102858,0.11198149397725098
1985 (n=5),2012 (n=7),0.7978021978022056,0.3717512896455586,0.5797951749505145
1985 (n=5),2013 (n=10),2.5350000000000037,0.11134688653313994,0.28632056537093425
1985 (n=5),2014 (n=25),0.006967741935483218,0.9334754443470519,0.9536586971977989
1985 (n=5),2015 (n=20),0.018461538461551186,0.8919214874063122,0.9391262457927186
1985 (n=5),2016 (n=10),0.060000000000002274,0.8064959405073364,0.8796845480614919
1985 (n=5),2017 (n=10),2.5350000000000037,0.11134688653313994,0.28632056537093425
1985 (n=5),2018 (n=10),3.375,0.06619257972219346,0.20470739512049196
1985 (n=5),2019 (n=5),4.810909090909092,0.02828012256827699,0.1303644674488866
1985 (n=5),2020 (n=10),0.960000000000008,0.3271868777903008,0.5377245208901466
1985 (n=5),old (n=14),3.4285714285714306,0.0640775064510595,0.20470739512049196
1986 (n=5),1990 (n=4),0.240000000000002,0.6242061147664044,0.7702645521700199
1986 (n=5),1994 (n=10),4.859999999999992,0.027486336111510436,0.1303644674488866
1986 (n=5),1995 (n=5),5.770909090909086,0.01629360362102858,0.11198149397725098
1986 (n=5),1998 (n=8),5.4857142857142875,0.019172484755223124,0.12371415326838825
1986 (n=5),2000 (n=30),6.480000000000004,0.010909498364269273,0.10815244097184809
1986 (n=5),2002 (n=24),2.613333333333344,0.10596880912720179,0.28208598485973435
1986 (n=5),2003 (n=10),5.415000000000013,0.019964453305215894,0.12371415326838825
1986 (n=5),2005 (n=15),4.954285714285703,0.026026074408591088,0.1303644674488866
1986 (n=5),2006 (n=10),4.859999999999992,0.027486336111510436,0.1303644674488866
1986 (n=5),2007 (n=14),6.248571428571438,0.012429350974009601,0.10815244097184809
