Group 1,Group 2,H,p-value,q-value
Q1 (n=62),Q10 (n=65),1.209305210918103,0.2714697667541936,0.9571917809029677
Q1 (n=62),Q13 (n=64),0.029170370840745363,0.8643862525680215,0.9571917809029677
Q1 (n=62),Q4 (n=64),0.0028813182626663547,0.9571917809029677,0.9571917809029677
Q1 (n=62),Q7 (n=64),0.44043688087378996,0.5069116669241052,0.9571917809029677
Q10 (n=65),Q13 (n=64),0.7512426035502813,0.38608310009670477,0.9571917809029677
Q10 (n=65),Q4 (n=64),0.9692529585798866,0.3248665595456506,0.9571917809029677
Q10 (n=65),Q7 (n=64),0.16795118343191007,0.6819391117041465,0.9571917809029677
Q13 (n=64),Q4 (n=64),0.0637945130814046,0.8005960657330662,0.9571917809029677
Q13 (n=64),Q7 (n=64),0.24093840843022463,0.62352916685456,0.9571917809029677
Q4 (n=64),Q7 (n=64),0.5042014898255616,0.47765981845859773,0.9571917809029677
