id	site_code	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
GF146	1	Whitelands_2018_19	Q1	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	6.48796200784278
GF147	NA	Whitelands_2018_19	Q4	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	6.44325419810112
GF148	NA	Whitelands_2018_19	Q7	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	5.27447331213557
GF149	NA	Whitelands_2018_19	Q10	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	7.10079016442963
GF150	NA	Whitelands_2018_19	Q13	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	5.2859801774926
GF151	2	Castle_Field_West_(W)	Q1	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.9302730160641
GF152	NA	Castle_Field_West_(W)	Q4	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.88018634840813
GF153	NA	Castle_Field_West_(W)	Q7	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.48203956429334
GF154	NA	Castle_Field_West_(W)	Q10	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.75415052250842
GF155	NA	Castle_Field_West_(W)	Q13	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	5.20330868854525
GF156	3	Toposcope_Field_-_1980s	Q1	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	4.91341935293218
GF157	NA	Toposcope_Field_-_1980s	Q4	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.09590292974667
GF158	NA	Toposcope_Field_-_1980s	Q7	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	6.35872237702719
GF159	NA	Toposcope_Field_-_1980s	Q10	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.67802099184945
GF160	NA	Toposcope_Field_-_1980s	Q13	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	5.3672668272122
GF161	4	Bradenham_post-1986_b	Q1	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.10895375758901
GF162	NA	Bradenham_post-1986_b	Q4	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.12447810403643
GF163	NA	Bradenham_post-1986_b	Q7	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	7.27004113432528
GF164	NA	Bradenham_post-1986_b	Q10	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.49043805867755
GF165	NA	Bradenham_post-1986_b	Q13	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	6.12656312749747
GF167	NA	Lardon_Chase_The_Holies_motorcycle	Q4	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	5.75576306183989
GF168	NA	Lardon_Chase_The_Holies_motorcycle	Q7	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	6.17717441067866
GF169	NA	Lardon_Chase_The_Holies_motorcycle	Q10	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	6.90055101025476
GF170	NA	Lardon_Chase_The_Holies_motorcycle	Q13	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	4.16541639659875
GF171	6	Stonehenge_2000_2017a	Q1	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	4.30386288676864
GF172	NA	Stonehenge_2000_2017a	Q4	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.18821106761464
GF173	NA	Stonehenge_2000_2017a	Q7	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.22256782029373
GF174	NA	Stonehenge_2000_2017a	Q10	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.28769231596334
GF175	NA	Stonehenge_2000_2017a	Q13	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.08130798401071
GF176	7	Stonehenge_2003_2017b	Q1	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	7.07791734002145
GF177	NA	Stonehenge_2003_2017b	Q4	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	4.31096511068473
GF178	NA	Stonehenge_2003_2017b	Q7	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.74747362674932
