sample-id	Age_category
#q2:types	categorical
Baltic_farm_1	Above_median
Baltic_farm_2	Above_median
BigleyFm_1	Below_median
BigleyFm_2	Below_median
Bradenham_post-1986_b	Above_median
Castle_Field_West_(W)	Above_median
ChurchFarm	Below_median
Crux_easton_70b1	Above_median
Crux_easton_70b2	Above_median
DRUIDS	Above_median
HARLEY_FARMS_Chittern	Below_median
HARLEY_FARMS_New1	Below_median
HARLEY_FARMS_new2b	Below_median
HomeFarm_WoodlandTrust_Hampshire_good_1c	Above_median
HommingtonFarm	Below_median
HorntonHouseFarm_1_parallel	Below_median
Jemma_1	Below_median
Jemma_2	Below_median
Jemma_4	Below_median
Jemma_5	Below_median
Jemma_6	Below_median
Jemma_7	Below_median
Jemma_9	Below_median
Knepp_Benton_field	Above_median
Knepp_Pond_field	Above_median
Lardon_Chase_The_Holies_motorcycle	Below_median
MannorFmAltonBarnes	Below_median
MannorFmBroadChalke	Below_median
ManorFmBerwickStJohn_1	Below_median
ManorFmBerwickStJohn_3	Below_median
Martin_Down_arabel_reversion	Above_median
NorringtonMannorFm_1	Below_median
NorringtonMannorFm_2	Below_median
Parsonage_down_reversion	Above_median
RSPB_Mainline	Below_median
RSPB_churchil	Below_median
RSPB_junction	Below_median
RSPB_orig_green	Above_median
St_Catherines_A3	Above_median
Stonehenge_-_Luxenborough_BankB	Above_median
Stonehenge_2000_2017a	Above_median
Stonehenge_2002_2017	Above_median
Stonehenge_2003_2017b	Above_median
Stonehenge_2005	Above_median
Stonehenge_2007_2016	Below_median
Stonehenge_2009	Below_median
Stonehenge_2010	Below_median
Stonehenge_2011	Below_median
StowellFarms_1_adj	Below_median
Stratton_Wood	Above_median
TARGET_KNEPP_A New_Barn_Field	Above_median
TARGET_MartinDown	Above_median
TARGET_ParsonageDown	Above_median
TARGET_St_Catherines	Above_median
ThropeManor_1	Above_median
ThropeManor_2	Above_median
ThropeManor_3	Above_median
Toposcope_Field_-_1980s	Above_median
TownsendFarm_1	Below_median
TownsendFarm_2	Below_median
TownsendFarm_3_big	Below_median
WESTMEAD_FARM	Above_median
WINDMILL_farm	Above_median
Watlington_natural_reversion	Above_median
WestEndFarm	Below_median
Whitelands_2018_19	Below_median
