sample-id	Cattle
#q2:types	categorical
Baltic_farm_1	Yes
Baltic_farm_2	Yes
BigleyFm_1	Yes
BigleyFm_2	Yes
Bradenham_post-1986_b	Yes
Castle_Field_West_(W)	Yes
ChurchFarm	Yes
Crux_easton_70b1	No
Crux_easton_70b2	No
DRUIDS	Yes
HARLEY_FARMS_Chittern	Yes
HARLEY_FARMS_New1	Yes
HARLEY_FARMS_new2b	No
HomeFarm_WoodlandTrust_Hampshire_good_1c	Yes
HommingtonFarm	Yes
HorntonHouseFarm_1_parallel	Yes
Jemma_1	Yes
Jemma_2	Yes
Jemma_4	Yes
Jemma_5	No
Jemma_6	No
Jemma_7	No
Jemma_9	No
Knepp_Benton_field	Yes
Knepp_Pond_field	Yes
Lardon_Chase_The_Holies_motorcycle	No
MannorFmAltonBarnes	Yes
MannorFmBroadChalke	No
ManorFmBerwickStJohn_1	Yes
ManorFmBerwickStJohn_3	Yes
Martin_Down_arabel_reversion	No
NorringtonMannorFm_1	No
NorringtonMannorFm_2	No
Parsonage_down_reversion	Yes
RSPB_Mainline	No
RSPB_churchil	No
RSPB_junction	No
RSPB_orig_green	Yes
St_Catherines_A3	Yes
Stonehenge_-_Luxenborough_BankB	No
Stonehenge_2000_2017a	Yes
Stonehenge_2002_2017	Yes
Stonehenge_2003_2017b	Yes
Stonehenge_2005	No
Stonehenge_2007_2016	Yes
Stonehenge_2009	No
Stonehenge_2010	Yes
Stonehenge_2011	Yes
StowellFarms_1_adj	Yes
Stratton_Wood	No
TARGET_KNEPP_A New_Barn_Field	Yes
TARGET_MartinDown	No
TARGET_ParsonageDown	No
TARGET_St_Catherines	No
ThropeManor_1	No
ThropeManor_2	No
ThropeManor_3	No
Toposcope_Field_-_1980s	Yes
TownsendFarm_1	No
TownsendFarm_2	No
TownsendFarm_3_big	No
WESTMEAD_FARM	No
WINDMILL_farm	Yes
Watlington_natural_reversion	No
WestEndFarm	No
Whitelands_2018_19	No
