sample-id	site_code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough	Age_category
#q2:types	numeric	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical
Baltic_farm_1	28	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	pH_7	29.2	Yes	Yes	Yes	No	Intermediate
Baltic_farm_2	29	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	pH_8	29.6	Yes	Yes	Yes	No	Old
BigleyFm_1	43	2014	7	ST9798720966	50.988091, -2.0300532	seed_mix	pH_8	31.3	Yes	Yes	Yes	Yes	New
BigleyFm_2	44	2017	4	ST9796821801	50.9956, -2.0303288	seed_mix	pH_7	46.8	Yes	Yes	Yes	Yes	New
Bradenham_post-1986_b	4	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	pH_7	151.7	No	Yes	Yes	Yes	Old
Castle_Field_West_(W)	2	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	pH_7	139.3	No	Yes	Yes	Yes	Intermediate
ChurchFarm	35	2012	9	SU0979864321	51.377859, -1.8606121	seed_mix	pH_8	20.7	Yes	Yes	Yes	No	New
Crux_easton_70b1	57	2000	21	SU4192556251	51.303843, -1.3999827	seed_mix	pH_7	80.7	No	No	Yes	Yes	Old
Crux_easton_70b2	58	2002	19	SU4195056550	51.306529, -1.399589	seed_mix	pH_8	76.3	Yes	No	Yes	No	Intermediate
DRUIDS	21	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	pH_7	176.3	Yes	Yes	Yes	Yes	Intermediate
HARLEY_FARMS_Chittern	17	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	pH_7	197.9	Yes	Yes	No	Yes	New
HARLEY_FARMS_New1	18	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	pH_7	144.1	No	Yes	No	No	New
HARLEY_FARMS_new2b	19	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	pH_7	102.5	Yes	No	No	No	New
HomeFarm_WoodlandTrust_Hampshire_good_1c	56	1994	27	SU6579941829	51.171925, -1.0602025	seed_mix	pH_6	28.4	No	Yes	No	No	Old
HommingtonFarm	38	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	pH_8	26.3	Yes	Yes	Yes	Yes	New
HorntonHouseFarm_1_parallel	31	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	pH_8	29.5	Yes	Yes	Yes	No	New
Jemma_1	49	2010	11	SU1405276456	51.486882, -1.7990143	Green_hay_bush	pH_8	33.5	Yes	Yes	Yes	No	Intermediate
Jemma_2	50	2008	13	SU1194873670	51.46188, -1.8294093	Natural_regen	pH_7	104.2	No	Yes	No	No	Intermediate
Jemma_4	52	2015	6	SU1261971802	51.44507, -1.8198169	Green_hay_bush	pH_7	145.8	Yes	Yes	Yes	No	New
Jemma_5	53	2015	6	SU1538172691	51.452995, -1.7800368	seed_mix	pH_8	77.7	Yes	No	Yes	No	New
Jemma_6	54	2013	8	SU1560872573	51.451928, -1.7767752	seed_mix	pH_8	66.9	Yes	No	Yes	No	New
Jemma_7	51	2014	7	SU1641473039	51.456096, -1.7651546	Green_hay_bush	pH_7	106.1	No	No	Yes	Yes	New
Jemma_9	55	2015	6	SU1669072674	51.452806, -1.7611995	seed_mix	pH_8	104.9	Yes	No	Yes	No	New
Knepp_Benton_field	66	2005	16	TQ1450019800	50.966251, -0.37079737	Natural_regen	pH_6	27.6	No	Yes	No		Intermediate
Knepp_Pond_field	65	2003	18	TQ1410019300	50.961836, -0.3766479	Natural_regen	pH_6	23.5	No	Yes	No		Intermediate
Lardon_Chase_The_Holies_motorcycle		2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	pH_7	135.7	No	No	Yes	No	Intermediate
MannorFmAltonBarnes		2012	9	SU1211561331	51.35093, -1.827423	seed_mix	pH_8	21.6	Yes	Yes	Yes	No	New
MannorFmBroadChalke	42	2010	11	SU0468023121	51.007455, -1.9346701	Green_hay_bush	pH_8	24.3	No	No	Yes	No	Intermediate
ManorFmBerwickStJohn_1	47	2014	7	ST9468023123	51.007466, -2.0772007	seed_mix	pH_7	17.83	Yes	Yes	Yes	No	New
ManorFmBerwickStJohn_3	48	2018	3	ST9422022841	51.004926, -2.0837525	seed_mix	pH_8	23	Yes	Yes	Yes	No	New
Martin_Down_arabel_reversion	59	1957	64	SU0390520162	50.980853, -1.9457471	Natural_regen	pH_8	115.8	No	No	Yes	Yes	Old
NorringtonMannorFm_1	45	2009	12	ST9689721419	50.99216, -2.0455866	seed_mix	pH_7	33.5	No	No	Yes	Yes	Intermediate
NorringtonMannorFm_2	46	2009	12	ST9699420390	50.982907, -2.0441957	seed_mix	pH_8	28.5	No	No	Yes	No	Intermediate
Parsonage_down_reversion	60	1945	76	SU0610341686	51.174381, -1.9140803	Natural_regen	pH_8	89.8	No	Yes	No	Yes	Old
RSPB_Mainline	27	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	pH_8	23.4	No	No	Yes	No	New
RSPB_churchil	25	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	pH_8	116.8	No	No	Yes	No	Intermediate
RSPB_junction	26	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	pH_8	24.6	No	No	Yes	No	Intermediate
RSPB_orig_green	24	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	pH_7	138.1	No	Yes	Yes	No	Intermediate
St_Catherines_A3	16	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	pH_7	222	Yes	Yes	Yes	No	Old
