index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Whitelands_2018_19,1197.0,6903.0,1429.0,825.0,237.0,174.0,102.0,5.0,39.0,33.0,18.0,5.0,7.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,pH_8,136.4,No,No,Yes,Yes,New
Castle_Field_West_(W),3183.0,4447.0,932.0,1128.0,668.0,192.0,190.0,57.0,56.0,49.0,74.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,pH_7,139.3,No,Yes,Yes,Yes,Intermediate
Toposcope_Field_-_1980s,4236.0,2959.0,1473.0,1877.0,162.0,36.0,76.0,75.0,10.0,61.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,pH_7,139.7,No,Yes,Yes,No,Old
Bradenham_post-1986_b,878.0,5998.0,919.0,1818.0,471.0,253.0,56.0,304.0,96.0,97.0,67.0,12.0,0.0,8.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,pH_7,151.7,No,Yes,Yes,Yes,Old
Lardon_Chase_The_Holies_motorcycle,3872.0,2969.0,346.0,2345.0,1067.0,215.0,71.0,50.0,39.0,19.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,pH_7,135.7,No,No,Yes,No,Intermediate
Stonehenge_2000_2017a,991.0,3129.0,5064.0,865.0,260.0,173.0,203.0,78.0,38.0,65.0,107.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay_bush,pH_7,144.3,No,Yes,Yes,Yes,Old
Stonehenge_2003_2017b,2739.0,4358.0,1193.0,1892.0,261.0,171.0,166.0,35.0,49.0,55.0,56.0,17.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay_bush,pH_7,184.4,No,Yes,Yes,Yes,Intermediate
Stonehenge_2009,1510.0,5464.0,1118.0,1734.0,339.0,297.0,130.0,58.0,15.0,95.0,177.0,44.0,1.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay_bush,pH_7,156.5,No,No,Yes,Yes,Intermediate
Stonehenge_2007_2016,1282.0,5584.0,889.0,1214.0,355.0,1130.0,246.0,30.0,22.0,53.0,153.0,31.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay_bush,pH_7,158.8,No,Yes,Yes,Yes,Intermediate
Stonehenge_2005,2866.0,3830.0,1741.0,1444.0,308.0,256.0,267.0,54.0,15.0,79.0,89.0,46.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay_bush,pH_7,145.0,No,No,Yes,Yes,Intermediate
Stonehenge_2002_2017,2119.0,4469.0,1193.0,2172.0,213.0,100.0,234.0,72.0,71.0,126.0,160.0,22.0,22.0,11.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2002,19,SU1480043200,"51.187837, -1.7896132",Green_hay_bush,pH_7,130.3,No,Yes,Yes,Yes,Intermediate
Stonehenge_2010,1859.0,5122.0,1175.0,1388.0,414.0,469.0,311.0,34.0,136.0,16.0,65.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2010,11,SU1070043000,"51.186129, -1.8482842",Green_hay_bush,pH_7,202.0,No,Yes,Yes,Yes,Intermediate
Stonehenge_2011,1795.0,6039.0,1272.0,789.0,325.0,232.0,266.0,14.0,118.0,65.0,44.0,31.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,2011,10,SU1050043600,"51.191528, -1.8511284",Green_hay_bush,pH_7,174.3,No,Yes,Yes,Yes,New
Stonehenge_-_Luxenborough_BankB,2539.0,5366.0,669.0,1193.0,601.0,344.0,165.0,41.0,14.0,4.0,40.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2000,21,SU1290041900,"51.176193, -1.8168457",Green_hay_bush,pH_7,186.6,Yes,No,Yes,Yes,Old
Watlington_natural_reversion,3508.0,3308.0,715.0,2342.0,280.0,39.0,264.0,180.0,13.0,186.0,45.0,114.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,2000,21,SU7050293600,"51.636798, -0.98266944",Natural_regen,pH_7,147.5,No,No,Yes,No,Old
