index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,Unassigned;__;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporea,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Ascomycota;c__Geoglossomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sareomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycota_cls_Incertae_sedis,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Monoblepharomycota;c__Hyaloraphidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__GS14,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Blastocladiomycota;c__Physodermatomycetes,k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Basidiomycota;c__Atractiellomycetes,k__Stramenopila;p__Ochrophyta;c__Bacillariophyceae,k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Sanchytriomycota;c__Sanchytriomycetes,k__Metazoa;p__Chordata;c__Actinopterygii,k__Fungi;p__Mortierellomycota;c__Mortierellomycota_cls_Incertae_sedis,k__Fungi;p__Monoblepharomycota;__,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycota_cls_Incertae_sedis,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis;c__Ichthyosporia_cls_Incertae_sedis,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,Age_category
Whitelands_2018_19,1197.0,1433.0,3991.0,693.0,825.0,237.0,843.0,241.0,419.0,174.0,102.0,35.0,74.0,46.0,5.0,118.0,269.0,64.0,29.0,0.0,0.0,33.0,34.0,11.0,5.0,7.0,7.0,0.0,10.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,3,SU2990087100,"51.581972, -1.5698756",seed_mix,pH_8,136.4,No,No,Yes,Yes,New
Castle_Field_West_(W),3183.0,687.0,2026.0,779.0,1128.0,668.0,1121.0,345.0,121.0,192.0,190.0,135.0,26.0,35.0,57.0,41.0,0.0,29.0,51.0,0.0,0.0,49.0,25.0,74.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2002,19,SU2950086200,"51.573901, -1.5757235",seed_mix,pH_7,139.3,No,Yes,Yes,Yes,Intermediate
Toposcope_Field_-_1980s,4236.0,895.0,1103.0,449.0,1877.0,162.0,192.0,72.0,908.0,36.0,76.0,3.0,0.0,109.0,75.0,24.0,114.0,8.0,0.0,543.0,0.0,61.0,1.0,23.0,3.0,0.0,0.0,9.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1985,36,SU2950086600,"51.577497, -1.5756901",Natural_regen,pH_7,139.7,No,Yes,Yes,No,Old
Bradenham_post-1986_b,878.0,1123.0,2963.0,265.0,1818.0,471.0,769.0,741.0,649.0,253.0,56.0,8.0,190.0,10.0,304.0,34.0,0.0,83.0,82.0,68.0,0.0,97.0,2.0,61.0,6.0,0.0,0.0,6.0,14.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1986,35,SU8290097718,"51.672127, -0.80258692",seed_mix,pH_7,151.7,No,Yes,Yes,Yes,Old
Lardon_Chase_The_Holies_motorcycle,3872.0,547.0,1572.0,195.0,2345.0,1067.0,589.0,175.0,59.0,215.0,71.0,0.0,37.0,0.0,50.0,36.0,0.0,13.0,34.0,0.0,7.0,19.0,85.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2007,14,SU5930079800,"51.514021, -1.1468383",Natural_regen,pH_7,135.7,No,No,Yes,No,Intermediate
Stonehenge_2000_2017a,991.0,465.0,1509.0,264.0,865.0,260.0,741.0,288.0,4788.0,173.0,109.0,0.0,17.0,3.0,78.0,49.0,2.0,52.0,15.0,1.0,0.0,65.0,10.0,107.0,22.0,4.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2000,21,SU1370042400,"51.180671, -1.8053828",Green_hay_bush,pH_7,144.3,No,Yes,Yes,Yes,Old
Stonehenge_2003_2017b,2739.0,340.0,2144.0,390.0,1892.0,261.0,1036.0,572.0,746.0,171.0,160.0,4.0,17.0,101.0,35.0,36.0,5.0,84.0,34.0,0.0,0.0,55.0,23.0,32.0,17.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,29.0,6.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2003,18,SU1150041600,"51.173525, -1.8368821",Green_hay_bush,pH_7,184.4,No,Yes,Yes,Yes,Intermediate
Stonehenge_2009,1510.0,513.0,2461.0,258.0,1734.0,339.0,1476.0,520.0,846.0,297.0,126.0,3.0,34.0,315.0,58.0,61.0,4.0,78.0,5.0,0.0,0.0,95.0,3.0,149.0,44.0,0.0,1.0,0.0,10.0,7.0,0.0,0.0,23.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009,12,SU1050041700,"51.174443, -1.8511833",Green_hay_bush,pH_7,156.5,No,No,Yes,Yes,Intermediate
Stonehenge_2007_2016,1282.0,702.0,3779.0,514.0,1214.0,355.0,409.0,376.0,322.0,1130.0,239.0,3.0,58.0,129.0,30.0,30.0,2.0,88.0,4.0,0.0,0.0,53.0,15.0,89.0,31.0,6.0,0.0,0.0,18.0,7.0,0.0,0.0,19.0,33.0,7.0,0.0,44.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2007,14,SU1100041900,"51.176233, -1.8440251",Green_hay_bush,pH_7,158.8,No,Yes,Yes,Yes,Intermediate
Stonehenge_2005,2866.0,285.0,2596.0,722.0,1444.0,308.0,428.0,325.0,990.0,256.0,242.0,15.0,26.0,38.0,54.0,30.0,0.0,78.0,6.0,0.0,0.0,79.0,2.0,81.0,46.0,6.0,0.0,0.0,9.0,4.0,0.0,0.0,5.0,22.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2005,16,SU1140042200,"51.178922, -1.8382937",Green_hay_bush,pH_7,145.0,No,No,Yes,Yes,Intermediate
