sample-id	Site
#q2:types	categorical
GF146	Whitelands_2018_19
GF147	Whitelands_2018_19
GF148	Whitelands_2018_19
GF149	Whitelands_2018_19
GF150	Whitelands_2018_19
GF151	Castle_Field_West_(W)
GF152	Castle_Field_West_(W)
GF153	Castle_Field_West_(W)
GF154	Castle_Field_West_(W)
GF155	Castle_Field_West_(W)
GF156	Toposcope_Field_-_1980s
GF157	Toposcope_Field_-_1980s
GF158	Toposcope_Field_-_1980s
GF159	Toposcope_Field_-_1980s
GF160	Toposcope_Field_-_1980s
GF161	Bradenham_post-1986_b
GF162	Bradenham_post-1986_b
GF163	Bradenham_post-1986_b
GF164	Bradenham_post-1986_b
GF165	Bradenham_post-1986_b
GF167	Lardon_Chase_The_Holies_motorcycle
GF168	Lardon_Chase_The_Holies_motorcycle
GF169	Lardon_Chase_The_Holies_motorcycle
GF170	Lardon_Chase_The_Holies_motorcycle
GF171	Stonehenge_2000_2017a
GF172	Stonehenge_2000_2017a
GF173	Stonehenge_2000_2017a
GF174	Stonehenge_2000_2017a
GF175	Stonehenge_2000_2017a
GF176	Stonehenge_2003_2017b
GF177	Stonehenge_2003_2017b
GF178	Stonehenge_2003_2017b
GF179	Stonehenge_2003_2017b
GF180	Stonehenge_2003_2017b
GF181	Stonehenge_2009
GF182	Stonehenge_2009
GF183	Stonehenge_2009
GF184	Stonehenge_2009
GF185	Stonehenge_2009
GF186	Stonehenge_2007_2016
GF187	Stonehenge_2007_2016
GF188	Stonehenge_2007_2016
GF189	Stonehenge_2007_2016
GF190	Stonehenge_2007_2016
GF191	Stonehenge_2005
GF192	Stonehenge_2005
GF193	Stonehenge_2005
GF194	Stonehenge_2005
GF195	Stonehenge_2005
GF196	Stonehenge_2002_2017
GF197	Stonehenge_2002_2017
GF198	Stonehenge_2002_2017
GF199	Stonehenge_2002_2017
GF200	Stonehenge_2002_2017
GF201	Stonehenge_2010
GF202	Stonehenge_2010
GF203	Stonehenge_2010
GF204	Stonehenge_2010
GF205	Stonehenge_2010
GF206	Stonehenge_2011
GF207	Stonehenge_2011
GF208	Stonehenge_2011
GF209	Stonehenge_2011
GF210	Stonehenge_2011
GF211	Stonehenge_-_Luxenborough_BankB
GF212	Stonehenge_-_Luxenborough_BankB
GF213	Stonehenge_-_Luxenborough_BankB
GF214	Stonehenge_-_Luxenborough_BankB
GF215	Stonehenge_-_Luxenborough_BankB
GF216	Watlington_natural_reversion
GF217	Watlington_natural_reversion
GF218	Watlington_natural_reversion
GF219	Watlington_natural_reversion
GF220	Watlington_natural_reversion
GF221	St_Catherines_A3
GF222	St_Catherines_A3
GF223	St_Catherines_A3
GF224	St_Catherines_A3
GF225	St_Catherines_A3
GF226	HARLEY_FARMS_Chittern
GF227	HARLEY_FARMS_Chittern
GF228	HARLEY_FARMS_Chittern
GF229	HARLEY_FARMS_Chittern
GF230	HARLEY_FARMS_Chittern
GF231	HARLEY_FARMS_New1
GF232	HARLEY_FARMS_New1
GF233	HARLEY_FARMS_New1
GF234	HARLEY_FARMS_New1
GF235	HARLEY_FARMS_New1
GF236	HARLEY_FARMS_new2b
GF237	HARLEY_FARMS_new2b
GF238	HARLEY_FARMS_new2b
GF239	HARLEY_FARMS_new2b
GF240	HARLEY_FARMS_new2b
GF242	WINDMILL_farm
GF243	WINDMILL_farm
GF244	WINDMILL_farm
GF245	WINDMILL_farm
GF246	DRUIDS
GF247	DRUIDS
GF248	DRUIDS
GF249	DRUIDS
GF250	DRUIDS
GF251	Stratton_Wood
GF252	Stratton_Wood
GF253	Stratton_Wood
GF254	Stratton_Wood
GF255	Stratton_Wood
GF256	WESTMEAD_FARM
GF257	WESTMEAD_FARM
GF258	WESTMEAD_FARM
GF259	WESTMEAD_FARM
GF260	WESTMEAD_FARM
GF261	RSPB_orig_green
GF262	RSPB_orig_green
GF263	RSPB_orig_green
GF264	RSPB_orig_green
GF265	RSPB_orig_green
GF266	RSPB_churchil
GF267	RSPB_churchil
GF268	RSPB_churchil
GF269	RSPB_churchil
GF270	RSPB_churchil
GF271	RSPB_junction
GF272	RSPB_junction
GF273	RSPB_junction
GF274	RSPB_junction
GF275	RSPB_junction
GF276	RSPB_Mainline
GF277	RSPB_Mainline
GF278	RSPB_Mainline
GF279	RSPB_Mainline
