Group 1,Group 2,H,p-value,q-value
1 (n=2),10 (n=1),0.0,1.0,1.0
1 (n=2),11 (n=5),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),12 (n=3),3.0,0.08326451666355042,0.6414084062683445
1 (n=2),13 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),14 (n=3),1.3333333333333321,0.2482130789899204,0.6414084062683445
1 (n=2),15 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),16 (n=3),3.0,0.08326451666355042,0.6414084062683445
1 (n=2),18 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),19 (n=5),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),2 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),21 (n=6),4.0,0.04550026389635857,0.6414084062683445
1 (n=2),23 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),26 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),27 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),3 (n=2),0.0,1.0,1.0
1 (n=2),31 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),35 (n=1),0.0,1.0,1.0
1 (n=2),36 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),4 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),5 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),6 (n=4),3.428571428571427,0.06407750645105924,0.6414084062683445
1 (n=2),64 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),7 (n=5),3.75,0.052807511416113395,0.6414084062683445
1 (n=2),76 (n=1),1.5,0.22067136191984324,0.6414084062683445
1 (n=2),8 (n=2),2.3999999999999986,0.12133525035848367,0.6414084062683445
1 (n=2),9 (n=2),0.0,1.0,1.0
1 (n=2),>100 (n=3),3.0,0.08326451666355042,0.6414084062683445
10 (n=1),11 (n=5),2.1428571428571423,0.14323490752466572,0.6414084062683445
10 (n=1),12 (n=3),1.8000000000000007,0.17971249487899588,0.6414084062683445
10 (n=1),13 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),14 (n=3),1.8000000000000007,0.17971249487899588,0.6414084062683445
10 (n=1),15 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),16 (n=3),1.8000000000000007,0.17971249487899588,0.6414084062683445
10 (n=1),18 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),19 (n=5),2.1428571428571423,0.14323490752466572,0.6414084062683445
10 (n=1),2 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),21 (n=6),2.25,0.13361440253771584,0.6414084062683445
10 (n=1),23 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),26 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),27 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),3 (n=2),0.0,1.0,1.0
10 (n=1),31 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),35 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),36 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),4 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),5 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),6 (n=4),2.0,0.15729920705028105,0.6414084062683445
10 (n=1),64 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),7 (n=5),2.1428571428571423,0.14323490752466572,0.6414084062683445
10 (n=1),76 (n=1),1.0,0.31731050786291115,0.6414084062683445
10 (n=1),8 (n=2),1.5,0.22067136191984324,0.6414084062683445
10 (n=1),9 (n=2),0.0,1.0,1.0
10 (n=1),>100 (n=3),1.8000000000000007,0.17971249487899588,0.6414084062683445
11 (n=5),12 (n=3),0.5555555555555571,0.4560565402502553,0.766174987620434
11 (n=5),13 (n=1),0.08571428571428541,0.7696979437812901,1.0
11 (n=5),14 (n=3),0.19999999999999574,0.6547208460185803,0.9269081640263046
11 (n=5),15 (n=2),0.14999999999999858,0.69853535830334,0.9532359763128612
11 (n=5),16 (n=3),0.19999999999999574,0.6547208460185803,0.9269081640263046
11 (n=5),18 (n=2),0.5999999999999979,0.4385780260810006,0.7434192549713822
11 (n=5),19 (n=5),0.8836363636363629,0.34720763934942456,0.6979996008040803
11 (n=5),2 (n=1),0.7714285714285722,0.37977547484094853,0.7106689578706858
11 (n=5),21 (n=6),0.033333333333338544,0.8551321405846947,1.0
11 (n=5),23 (n=2),1.3499999999999979,0.2452781168067699,0.6414084062683445
11 (n=5),26 (n=1),0.08571428571428541,0.7696979437812901,1.0
11 (n=5),27 (n=2),0.14999999999999858,0.69853535830334,0.9532359763128612
11 (n=5),3 (n=2),0.0,1.0,1.0
11 (n=5),31 (n=1),0.08571428571428541,0.7696979437812901,1.0
11 (n=5),35 (n=1),2.1428571428571423,0.14323490752466572,0.6414084062683445
11 (n=5),36 (n=1),0.08571428571428541,0.7696979437812901,1.0
11 (n=5),4 (n=2),0.14999999999999858,0.69853535830334,0.9532359763128612
11 (n=5),5 (n=2),0.14999999999999858,0.69853535830334,0.9532359763128612
11 (n=5),6 (n=4),2.1599999999999966,0.14164469029513294,0.6414084062683445
11 (n=5),64 (n=1),2.1428571428571423,0.14323490752466572,0.6414084062683445
11 (n=5),7 (n=5),0.5345454545454515,0.4647020999404661,0.77724510521016
11 (n=5),76 (n=1),2.1428571428571423,0.14323490752466572,0.6414084062683445
11 (n=5),8 (n=2),0.0,1.0,1.0
11 (n=5),9 (n=2),0.5999999999999979,0.4385780260810006,0.7434192549713822
11 (n=5),>100 (n=3),5.0,0.025347318677468325,0.6414084062683445
12 (n=3),13 (n=1),0.1999999999999993,0.6547208460185774,0.9269081640263046
12 (n=3),14 (n=3),0.42857142857142705,0.5126907602619241,0.8317472419699884
12 (n=3),15 (n=2),0.0,1.0,1.0
12 (n=3),16 (n=3),0.04761904761904745,0.8272593465627116,1.0
12 (n=3),18 (n=2),0.3333333333333357,0.5637028616507718,0.8732773840327561
12 (n=3),19 (n=5),1.0888888888888886,0.29671752632205745,0.6414084062683445
12 (n=3),2 (n=1),0.1999999999999993,0.6547208460185774,0.9269081640263046
12 (n=3),21 (n=6),0.2666666666666657,0.6055766163353469,0.9269081640263046
12 (n=3),23 (n=2),0.3333333333333357,0.5637028616507718,0.8732773840327561
12 (n=3),26 (n=1),0.1999999999999993,0.6547208460185774,0.9269081640263046
