id	Year_est	Age	Establishment	faith_pd
#q2:types	categorical	categorical	categorical	numeric
Whitelands_2018/19_	2018	3	seed_mix	40.8021957115515
Castle_Field_West_(W)	2002	19	seed_mix	37.1610580316011
Toposcope_Field_-_1980s	1985	36	Natural_regen	34.5814122591955
Bradenham_post-1986_b	1986	35	seed_mix	37.4932763221674
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	24.1339401978849
Stonehenge_2000_2017a	2000	21	Green_hay/bush	34.4143553177897
Stonehenge_2003_2017b	2003	18	Green_hay/bush	33.650496079814
Stonehenge_2009	2009	12	Green_hay/bush	35.2840026313177
Stonehenge_2007_2016	2007	14	Green_hay/bush	35.243072291664
Stonehenge_2005	2005	16	Green_hay/bush	32.5966843016966
Stonehenge_2002_2017	2002	19	Green_hay/bush	34.2236322796715
Stonehenge_2010	2010	11	Green_hay/bush	35.0927491979955
Stonehenge_2011	2011	10	Green_hay/bush	37.4547346800372
Stonehenge_-_Luxenborough_BankB	2000	21	Green_hay/bush	35.0791200999111
Watlington_natural_reversion	2000	21	Natural_regen	35.7635393737027
St_Catherines_A3	1994	27	Green_hay/bush	32.494365868687
HARLEY_FARMS_Chittern	2013	8	seed_mix	33.23108219501
HARLEY_FARMS_New1	2020	1	seed_mix	36.7593171506438
HARLEY_FARMS_new2b	2020	1	seed_mix	39.7473740153923
WINDMILL_farm	1990	31	seed_mix	31.1343718443217
DRUIDS	2002	19	seed_mix	35.2542456524381
Stratton_Wood	1995	26	seed_mix	32.9505660384365
WESTMEAD_FARM	2000	21	seed_mix	31.0352690221274
RSPB_orig_green	2006	15	Green_hay/bush	35.2525850507271
RSPB_churchil	2010	11	Green_hay/bush	31.5921538480299
RSPB_junction	2007	14	Green_hay/bush	37.1374392743772
RSPB_Mainline	2016	5	Green_hay/bush	35.7069092352088
Baltic_farm_1	2005	16	Green_hay/bush	25.7973846999237
Baltic_farm_2	1998	23	Green_hay/bush	30.7752610764921
WestEndFarm	2019	2	Green_hay/bush	26.1823013187267
HorntonHouseFarm_1_parallel	2016	5	seed_mix	31.1118090160023
TownsendFarm_1	2017	4	seed_mix	35.7257995487782
TownsendFarm_2	2010	11	seed_mix	37.0567654874459
TownsendFarm_3_big	2014	7	Green_hay/bush	35.4913349492795
ChurchFarm	2012	9	seed_mix	41.6879751908713
StowellFarms_1_adj	2015	6	seed_mix	29.2784182527009
MannorFmAltonBarnes	2012	9	seed_mix	28.4025119101175
HommingtonFarm	2014	7	seed_mix	29.1256656930827
ThropeManor_1	2002	19	seed_mix	25.5256919512771
ThropeManor_2	1998	23	seed_mix	19.537833401128
ThropeManor_3	2000	21	seed_mix	22.0528447088651
MannorFmBroadChalke	2010	11	Green_hay/bush	26.2182750285386
BigleyFm_1	2014	7	seed_mix	22.0668871214924
BigleyFm_2	2017	4	seed_mix	21.9966064337848
NorringtonMannorFm_1	2009	12	seed_mix	22.3810308716071
NorringtonMannorFm_2	2009	12	seed_mix	26.0660642470143
ManorFmBerwickStJohn_1	2014	7	seed_mix	24.9781195170916
ManorFmBerwickStJohn_3	2018	3	seed_mix	23.6410451285238
Jemma_1	2010	11	Green_hay/bush	24.4838989745243
Jemma_2	2008	13	Natural_regen	28.9782240493078
Jemma_7	2014	7	Green_hay/bush	27.6531500469372
Jemma_4	2015	6	Green_hay/bush	22.8170341848937
Jemma_5	2015	6	seed_mix	31.4014246331806
Jemma_6	2013	8	seed_mix	31.3253946259177
Jemma_9	2015	6	seed_mix	23.4018963583739
HomeFarm_WoodlandTrust_Hampshire_good_1c	1994	27	seed_mix	26.1273783789722
Crux_easton_70b1	2000	21	seed_mix	29.6174231981071
Crux_easton_70b2	2002	19	seed_mix	35.3257979231968
Martin_Down_arabel_reversion	1957	64	Natural_regen	21.7387043871719
Parsonage_down_reversion	1945	76	Natural_regen	22.8310543245939
TARGET_MartinDown	old	>100	Natural_regen	19.9712470018378
TARGET_St_Catherines	old	>100	Natural_regen	21.5919904127183
TARGET_ParsonageDown	old	>100	Natural_regen	23.3673165015202
TARGET_KNEPP_A New_Barn_Field	2006	15	Natural_regen	23.9752743854492
Knepp_Pond_field	2003	18	Natural_regen	18.9068886686837
Knepp_Benton_field	2005	16	Natural_regen	27.6966453066624
