id	Year_est	Age	Establishment	shannon_entropy
#q2:types	categorical	categorical	categorical	numeric
Whitelands_2018/19_	2018	3	seed_mix	8.98092243905156
Castle_Field_West_(W)	2002	19	seed_mix	8.6361122722309
Toposcope_Field_-_1980s	1985	36	Natural_regen	8.85414268254752
Bradenham_post-1986_b	1986	35	seed_mix	8.83727057293123
Lardon_Chase_The_Holies_motorcycle	2007	14	Natural_regen	6.32275935269469
Stonehenge_2000_2017a	2000	21	Green_hay/bush	8.86088109507865
Stonehenge_2003_2017b	2003	18	Green_hay/bush	8.75131295739599
Stonehenge_2009	2009	12	Green_hay/bush	8.86217870327953
Stonehenge_2007_2016	2007	14	Green_hay/bush	8.89345467861663
Stonehenge_2005	2005	16	Green_hay/bush	8.86788076228324
Stonehenge_2002_2017	2002	19	Green_hay/bush	8.79558617522226
Stonehenge_2010	2010	11	Green_hay/bush	8.74232929859109
Stonehenge_2011	2011	10	Green_hay/bush	8.96442387467468
Stonehenge_-_Luxenborough_BankB	2000	21	Green_hay/bush	8.86481033463678
Watlington_natural_reversion	2000	21	Natural_regen	8.63293497737035
St_Catherines_A3	1994	27	Green_hay/bush	8.46632868075728
HARLEY_FARMS_Chittern	2013	8	seed_mix	8.87414971888491
HARLEY_FARMS_New1	2020	1	seed_mix	8.85088500131472
HARLEY_FARMS_new2b	2020	1	seed_mix	8.85394496474802
WINDMILL_farm	1990	31	seed_mix	8.1863192779926
DRUIDS	2002	19	seed_mix	8.63971118910435
Stratton_Wood	1995	26	seed_mix	8.58197141263108
WESTMEAD_FARM	2000	21	seed_mix	8.48621729502018
RSPB_orig_green	2006	15	Green_hay/bush	8.8341752229942
RSPB_churchil	2010	11	Green_hay/bush	8.54015557790012
RSPB_junction	2007	14	Green_hay/bush	8.87202989314756
RSPB_Mainline	2016	5	Green_hay/bush	8.80052254417155
Baltic_farm_1	2005	16	Green_hay/bush	7.60726606236628
Baltic_farm_2	1998	23	Green_hay/bush	8.20068280041962
WestEndFarm	2019	2	Green_hay/bush	7.67255785496639
HorntonHouseFarm_1_parallel	2016	5	seed_mix	8.49494392817232
TownsendFarm_1	2017	4	seed_mix	8.5313868874325
TownsendFarm_2	2010	11	seed_mix	8.67774093299815
TownsendFarm_3_big	2014	7	Green_hay/bush	8.60972437638419
ChurchFarm	2012	9	seed_mix	8.82585816214821
StowellFarms_1_adj	2015	6	seed_mix	7.51617184622125
MannorFmAltonBarnes	2012	9	seed_mix	8.24812973807319
HommingtonFarm	2014	7	seed_mix	8.5455903053548
ThropeManor_1	2002	19	seed_mix	7.47195112701987
ThropeManor_2	1998	23	seed_mix	7.28665279802356
ThropeManor_3	2000	21	seed_mix	8.02066599562415
MannorFmBroadChalke	2010	11	Green_hay/bush	8.20101284868947
BigleyFm_1	2014	7	seed_mix	7.47138890819852
BigleyFm_2	2017	4	seed_mix	7.16282092407994
NorringtonMannorFm_1	2009	12	seed_mix	8.04949102855655
NorringtonMannorFm_2	2009	12	seed_mix	8.41691080022772
ManorFmBerwickStJohn_1	2014	7	seed_mix	7.71338096794939
ManorFmBerwickStJohn_3	2018	3	seed_mix	7.74799136308128
Jemma_1	2010	11	Green_hay/bush	8.10860699365246
Jemma_2	2008	13	Natural_regen	8.05852498908505
Jemma_7	2014	7	Green_hay/bush	8.10506200853246
Jemma_4	2015	6	Green_hay/bush	7.77739138040089
Jemma_5	2015	6	seed_mix	8.54597071461567
Jemma_6	2013	8	seed_mix	8.61970146203094
Jemma_9	2015	6	seed_mix	7.83870183057092
HomeFarm_WoodlandTrust_Hampshire_good_1c	1994	27	seed_mix	8.06185452113698
Crux_easton_70b1	2000	21	seed_mix	8.22636244170606
Crux_easton_70b2	2002	19	seed_mix	8.45504029910688
Martin_Down_arabel_reversion	1957	64	Natural_regen	7.61487165844591
Parsonage_down_reversion	1945	76	Natural_regen	7.79682743999318
TARGET_MartinDown	old	>100	Natural_regen	7.60081649339458
TARGET_St_Catherines	old	>100	Natural_regen	7.26218506377509
TARGET_ParsonageDown	old	>100	Natural_regen	7.45901340845361
TARGET_KNEPP_A New_Barn_Field	2006	15	Natural_regen	7.48433838217573
Knepp_Pond_field	2003	18	Natural_regen	7.07607559670391
Knepp_Benton_field	2005	16	Natural_regen	7.75234642214279
